t ke gpe 
0 0.184896 0
0.000568182 0.184848 0
0.00191558 0.184833 0
0.00353247 0.184816 0
0.00568831 0.184796 0
0.00784416 0.184778 0
0.01 0.184759 0
0.0125 0.184737 0
0.015 0.184716 0
0.0175 0.184695 0
0.02 0.184675 0
0.0233333 0.184648 0
0.0266667 0.184621 0
0.03 0.184594 0
0.0333333 0.184568 0
0.0366667 0.184542 0
0.04 0.184515 0
0.045 0.184475 0
0.05 0.184436 0
0.055 0.184399 0
0.06 0.184364 0
0.065 0.184328 0
0.07 0.184294 0
0.075 0.184259 0
0.08 0.184225 0
0.085 0.184192 0
0.09 0.18416 0
0.095 0.184129 0
0.1 0.184098 0
0.105 0.184068 0
0.11 0.184038 0
0.115 0.184009 0
0.12 0.183979 0
0.125 0.183951 0
0.13 0.183922 0
0.135 0.183894 0
0.14 0.183866 0
0.145 0.18384 0
0.15 0.183813 0
0.155 0.183788 0
0.16 0.183762 0
0.165 0.183736 0
0.17 0.183711 0
0.175 0.183687 0
0.18 0.183662 0
0.185 0.183637 0
0.19 0.183614 0
0.195 0.18359 0
0.2 0.183566 0
0.205 0.183541 0
0.21 0.183518 0
0.215 0.183495 0
0.22 0.183471 0
0.225 0.183448 0
0.23 0.183425 0
0.235 0.183403 0
0.24 0.18338 0
0.245 0.183358 0
0.25 0.183336 0
0.255 0.183315 0
0.26 0.183293 0
0.265 0.183271 0
0.27 0.183249 0
0.275 0.183228 0
0.28 0.183206 0
0.285 0.183183 0
0.29 0.183161 0
0.295 0.18314 0
0.3 0.183118 0
0.305 0.183096 0
0.31 0.183075 0
0.315 0.183053 0
0.32 0.183032 0
0.325 0.18301 0
0.33 0.182989 0
0.335 0.182967 0
0.34 0.182945 0
0.345 0.182923 0
0.35 0.182903 0
0.355 0.182882 0
0.36 0.18286 0
0.365 0.182838 0
0.37 0.182817 0
0.375 0.182795 0
0.38 0.182774 0
0.385 0.182753 0
0.39 0.182732 0
0.395 0.182711 0
0.4 0.18269 0
0.405 0.182669 0
0.41 0.182646 0
0.415 0.182625 0
0.42 0.182605 0
0.425 0.182583 0
0.43 0.182562 0
0.435 0.18254 0
0.44 0.182518 0
0.445 0.182497 0
0.45 0.182476 0
0.455 0.182454 0
0.46 0.182432 0
0.465 0.182411 0
0.47 0.18239 0
0.475 0.18237 0
0.48 0.182349 0
0.485 0.182328 0
0.49 0.182307 0
0.495 0.182287 0
0.5 0.182267 0
0.505 0.182246 0
0.51 0.182224 0
0.515 0.182205 0
0.52 0.182185 0
0.525 0.182165 0
0.53 0.182143 0
0.535 0.182122 0
0.54 0.182102 0
0.545 0.18208 0
0.55 0.182059 0
0.555 0.182038 0
0.56 0.182017 0
0.565 0.181996 0
0.57 0.181976 0
0.575 0.181955 0
0.58 0.181934 0
0.585 0.181913 0
0.59 0.181892 0
0.595 0.181872 0
0.6 0.181851 0
0.605 0.18183 0
0.61 0.181809 0
0.615 0.181789 0
0.62 0.181767 0
0.625 0.181747 0
0.63 0.181726 0
0.635 0.181705 0
0.64 0.181685 0
0.645 0.181664 0
0.65 0.181643 0
0.655 0.181623 0
0.66 0.181602 0
0.665 0.181581 0
0.67 0.181561 0
0.675 0.181539 0
0.68 0.181518 0
0.685 0.181497 0
0.69 0.181476 0
0.695 0.181455 0
0.7 0.181435 0
0.705 0.181414 0
0.71 0.181393 0
0.715 0.181372 0
0.72 0.181353 0
0.725 0.181331 0
0.73 0.181311 0
0.735 0.181291 0
0.74 0.18127 0
0.745 0.18125 0
0.75 0.18123 0
0.755 0.18121 0
0.76 0.181189 0
0.765 0.181168 0
0.77 0.181147 0
0.775 0.181127 0
0.78 0.181107 0
0.785 0.181087 0
0.79 0.181066 0
0.795 0.181046 0
0.8 0.181027 0
0.805 0.181007 0
0.81 0.180986 0
0.815 0.180966 0
0.82 0.180944 0
0.825 0.180923 0
0.83 0.180904 0
0.835 0.180883 0
0.84 0.180862 0
0.845 0.180843 0
0.85 0.180824 0
0.855 0.180804 0
0.86 0.180784 0
0.865 0.180763 0
0.87 0.180743 0
0.875 0.180723 0
0.88 0.180704 0
0.885 0.180684 0
0.89 0.180663 0
0.895 0.180642 0
0.9 0.180621 0
0.905 0.180601 0
0.91 0.180581 0
0.915 0.180562 0
0.92 0.180543 0
0.925 0.180522 0
0.93 0.180502 0
0.935 0.180482 0
0.94 0.180463 0
0.945 0.180442 0
0.95 0.18042 0
0.955 0.180401 0
0.96 0.180382 0
0.965 0.180362 0
0.97 0.180343 0
0.975 0.180323 0
0.98 0.180303 0
0.985 0.180284 0
0.99 0.180265 0
0.995 0.180245 0
1 0.180225 0
1.005 0.180206 0
1.01 0.180187 0
1.015 0.180167 0
1.02 0.180148 0
1.025 0.180129 0
1.03 0.180109 0
1.035 0.18009 0
1.04 0.180071 0
1.045 0.180053 0
1.05 0.180034 0
1.055 0.180014 0
1.06 0.179995 0
1.065 0.179976 0
1.07 0.179957 0
1.075 0.179938 0
1.08 0.179919 0
1.085 0.179901 0
1.09 0.179882 0
1.095 0.179863 0
1.1 0.179844 0
1.105 0.179826 0
1.11 0.179807 0
1.115 0.179788 0
1.12 0.17977 0
1.125 0.179752 0
1.13 0.179734 0
1.135 0.179717 0
1.14 0.179699 0
1.145 0.179679 0
1.15 0.179661 0
1.155 0.179644 0
1.16 0.179627 0
1.165 0.179609 0
1.17 0.179592 0
1.175 0.179573 0
1.18 0.179555 0
1.185 0.179537 0
1.19 0.179519 0
1.195 0.179502 0
1.2 0.179485 0
1.205 0.179468 0
1.21 0.179451 0
1.215 0.179434 0
1.22 0.179417 0
1.225 0.1794 0
1.23 0.179383 0
1.235 0.179366 0
1.24 0.179349 0
1.245 0.179332 0
1.25 0.179315 0
1.255 0.179297 0
1.26 0.179281 0
1.265 0.179264 0
1.27 0.179247 0
1.275 0.179229 0
1.28 0.179213 0
1.285 0.179196 0
1.29 0.179179 0
1.295 0.179163 0
1.3 0.179146 0
1.305 0.179129 0
1.31 0.179113 0
1.315 0.179096 0
1.32 0.179079 0
1.325 0.179063 0
1.33 0.179047 0
1.335 0.179031 0
1.34 0.179015 0
1.345 0.178999 0
1.35 0.178982 0
1.355 0.178965 0
1.36 0.178949 0
1.365 0.178933 0
1.37 0.178917 0
1.375 0.178901 0
1.38 0.178885 0
1.385 0.178868 0
1.39 0.178852 0
1.395 0.178837 0
1.4 0.178823 0
1.405 0.178808 0
1.41 0.178792 0
1.415 0.178776 0
1.42 0.17876 0
1.425 0.178744 0
1.43 0.178728 0
1.435 0.178714 0
1.44 0.1787 0
1.445 0.178684 0
1.45 0.178669 0
1.455 0.178653 0
1.46 0.178638 0
1.465 0.178623 0
1.47 0.178608 0
1.475 0.178594 0
1.48 0.178579 0
1.485 0.178564 0
1.49 0.178549 0
1.495 0.178533 0
1.5 0.178519 0
1.505 0.178504 0
1.51 0.17849 0
1.515 0.178475 0
1.52 0.178461 0
1.525 0.178446 0
1.53 0.178432 0
1.535 0.178418 0
1.54 0.178404 0
1.545 0.17839 0
1.55 0.178375 0
1.555 0.178363 0
1.56 0.178349 0
1.565 0.178335 0
1.57 0.178322 0
1.575 0.178307 0
1.58 0.178293 0
1.585 0.178279 0
1.59 0.178265 0
1.595 0.178252 0
1.6 0.178239 0
1.605 0.178225 0
1.61 0.178212 0
1.615 0.178198 0
1.62 0.178185 0
1.625 0.178171 0
1.63 0.178158 0
1.635 0.178146 0
1.64 0.178133 0
1.645 0.178119 0
1.65 0.178106 0
1.655 0.178094 0
1.66 0.17808 0
1.665 0.178068 0
1.67 0.178055 0
1.675 0.178043 0
1.68 0.17803 0
1.685 0.178017 0
1.69 0.178004 0
1.695 0.177992 0
1.7 0.17798 0
1.705 0.177968 0
1.71 0.177956 0
1.715 0.177943 0
1.72 0.177931 0
1.725 0.177918 0
1.73 0.177905 0
1.735 0.177893 0
1.74 0.177881 0
1.745 0.177869 0
1.75 0.177857 0
1.755 0.177845 0
1.76 0.177834 0
1.765 0.177822 0
1.77 0.177811 0
1.775 0.177799 0
1.78 0.177787 0
1.785 0.177774 0
1.79 0.177763 0
1.795 0.177751 0
1.8 0.177739 0
1.805 0.177728 0
1.81 0.177716 0
1.815 0.177705 0
1.82 0.177694 0
1.825 0.177682 0
1.83 0.177671 0
1.835 0.17766 0
1.84 0.177649 0
1.845 0.177638 0
1.85 0.177627 0
1.855 0.177615 0
1.86 0.177603 0
1.865 0.177592 0
1.87 0.177581 0
1.875 0.17757 0
1.88 0.177558 0
1.885 0.177548 0
1.89 0.177536 0
1.895 0.177525 0
1.9 0.177514 0
1.905 0.177504 0
1.91 0.177493 0
1.915 0.177482 0
1.92 0.177472 0
1.925 0.177461 0
1.93 0.17745 0
1.935 0.177439 0
1.94 0.177428 0
1.945 0.177418 0
1.95 0.177406 0
1.955 0.177396 0
1.96 0.177384 0
1.965 0.177374 0
1.97 0.177363 0
1.975 0.177353 0
1.98 0.177343 0
1.985 0.177333 0
1.99 0.177324 0
1.995 0.177313 0
2 0.177303 0
2.005 0.177292 0
2.01 0.177282 0
2.015 0.177272 0
2.02 0.177262 0
2.025 0.177253 0
2.03 0.177243 0
2.035 0.177233 0
2.04 0.177223 0
2.045 0.177213 0
2.05 0.177204 0
2.055 0.177194 0
2.06 0.177183 0
2.065 0.177173 0
2.07 0.177163 0
2.075 0.177154 0
2.08 0.177145 0
2.085 0.177136 0
2.09 0.177126 0
2.095 0.177116 0
2.1 0.177106 0
2.105 0.177097 0
2.11 0.177087 0
2.115 0.177078 0
2.12 0.177068 0
2.125 0.177059 0
2.13 0.177049 0
2.135 0.177039 0
2.14 0.177029 0
2.145 0.17702 0
2.15 0.177011 0
2.155 0.177001 0
2.16 0.176991 0
2.165 0.176982 0
2.17 0.176973 0
2.175 0.176963 0
2.18 0.176953 0
2.185 0.176943 0
2.19 0.176934 0
2.195 0.176924 0
2.2 0.176914 0
2.205 0.176906 0
2.21 0.176896 0
2.215 0.176886 0
2.22 0.176877 0
2.225 0.176867 0
2.23 0.176858 0
2.235 0.176849 0
2.24 0.176839 0
2.245 0.17683 0
2.25 0.17682 0
2.255 0.176811 0
2.26 0.176801 0
2.265 0.176792 0
2.27 0.176782 0
2.275 0.176772 0
2.28 0.176763 0
2.285 0.176753 0
2.29 0.176743 0
2.295 0.176734 0
2.3 0.176725 0
2.305 0.176716 0
2.31 0.176706 0
2.315 0.176696 0
2.32 0.176686 0
2.325 0.176675 0
2.33 0.176666 0
2.335 0.176657 0
2.34 0.176647 0
2.345 0.176638 0
2.35 0.176628 0
2.355 0.176617 0
2.36 0.176608 0
2.365 0.176598 0
2.37 0.176589 0
2.375 0.176579 0
2.38 0.176568 0
2.385 0.176558 0
2.39 0.176548 0
2.395 0.176539 0
2.4 0.176529 0
2.405 0.176518 0
2.41 0.176508 0
2.415 0.176498 0
2.42 0.176489 0
2.425 0.176479 0
2.43 0.17647 0
2.435 0.17646 0
2.44 0.176451 0
2.445 0.17644 0
2.45 0.176431 0
2.455 0.176422 0
2.46 0.176413 0
2.465 0.176403 0
2.47 0.176393 0
2.475 0.176384 0
2.48 0.176375 0
2.485 0.176366 0
2.49 0.176356 0
2.495 0.176346 0
2.5 0.176335 0
2.505 0.176325 0
2.51 0.176316 0
2.515 0.176306 0
2.52 0.176296 0
2.525 0.176287 0
2.53 0.176277 0
2.535 0.176267 0
2.54 0.176259 0
2.545 0.176249 0
2.55 0.176238 0
2.555 0.176229 0
2.56 0.17622 0
2.565 0.17621 0
2.57 0.176201 0
2.575 0.176192 0
2.58 0.176183 0
2.585 0.176174 0
2.59 0.176165 0
2.595 0.176155 0
2.6 0.176146 0
2.605 0.176137 0
2.61 0.176128 0
2.615 0.176119 0
2.62 0.176111 0
2.625 0.176102 0
2.63 0.176093 0
2.635 0.176084 0
2.64 0.176076 0
2.645 0.176067 0
2.65 0.176059 0
2.655 0.176051 0
2.66 0.176043 0
2.665 0.176034 0
2.67 0.176026 0
2.675 0.176017 0
2.68 0.17601 0
2.685 0.176001 0
2.69 0.175993 0
2.695 0.175985 0
2.7 0.175976 0
2.705 0.175967 0
2.71 0.175958 0
2.715 0.175949 0
2.72 0.175942 0
2.725 0.175935 0
2.73 0.175926 0
2.735 0.175918 0
2.74 0.175909 0
2.745 0.175901 0
2.75 0.175892 0
2.755 0.175883 0
2.76 0.175876 0
2.765 0.175868 0
2.77 0.175859 0
2.775 0.17585 0
2.78 0.175842 0
2.785 0.175834 0
2.79 0.175825 0
2.795 0.175817 0
2.8 0.17581 0
2.805 0.1758 0
2.81 0.175792 0
2.815 0.175784 0
2.82 0.175776 0
2.825 0.175769 0
2.83 0.175761 0
2.835 0.175752 0
2.84 0.175743 0
2.845 0.175735 0
2.85 0.175727 0
2.855 0.175719 0
2.86 0.175711 0
2.865 0.175703 0
2.87 0.175694 0
2.875 0.175685 0
2.88 0.175677 0
2.885 0.175668 0
2.89 0.17566 0
2.895 0.175652 0
2.9 0.175644 0
2.905 0.175635 0
2.91 0.175627 0
2.915 0.175618 0
2.92 0.17561 0
2.925 0.175602 0
2.93 0.175594 0
2.935 0.175585 0
2.94 0.175577 0
2.945 0.175569 0
2.95 0.17556 0
2.955 0.175551 0
2.96 0.175542 0
2.965 0.175534 0
2.97 0.175526 0
2.975 0.175516 0
2.98 0.175507 0
2.985 0.175499 0
2.99 0.17549 0
2.995 0.175482 0
3 0.175474 0
3.005 0.175465 0
3.01 0.175457 0
3.015 0.175448 0
3.02 0.17544 0
3.025 0.175432 0
3.03 0.175424 0
3.035 0.175415 0
3.04 0.175407 0
3.045 0.175398 0
3.05 0.17539 0
3.055 0.175381 0
3.06 0.175372 0
3.065 0.175364 0
3.07 0.175356 0
3.075 0.175348 0
3.08 0.17534 0
3.085 0.175331 0
3.09 0.175323 0
3.095 0.175314 0
3.1 0.175307 0
3.105 0.175298 0
3.11 0.17529 0
3.115 0.175282 0
3.12 0.175275 0
3.125 0.175266 0
3.13 0.175258 0
3.135 0.17525 0
3.14 0.175241 0
3.145 0.175234 0
3.15 0.175227 0
3.155 0.175219 0
3.16 0.175211 0
3.165 0.175203 0
3.17 0.175195 0
3.175 0.175187 0
3.18 0.175177 0
3.185 0.175169 0
3.19 0.175161 0
3.195 0.175153 0
3.2 0.175145 0
3.205 0.175138 0
3.21 0.17513 0
3.215 0.175123 0
3.22 0.175115 0
3.225 0.175106 0
3.23 0.175098 0
3.235 0.17509 0
3.24 0.175082 0
3.245 0.175074 0
3.25 0.175066 0
3.255 0.175058 0
3.26 0.175051 0
3.265 0.175042 0
3.27 0.175033 0
3.275 0.175025 0
3.28 0.175017 0
3.285 0.17501 0
3.29 0.175002 0
3.295 0.174995 0
3.3 0.174987 0
3.305 0.174977 0
3.31 0.17497 0
3.315 0.174962 0
3.32 0.174953 0
3.325 0.174945 0
3.33 0.174937 0
3.335 0.174929 0
3.34 0.174921 0
3.345 0.174914 0
3.35 0.174906 0
3.355 0.174898 0
3.36 0.174889 0
3.365 0.174881 0
3.37 0.174874 0
3.375 0.174866 0
3.38 0.174858 0
3.385 0.17485 0
3.39 0.174843 0
3.395 0.174835 0
3.4 0.174826 0
3.405 0.174818 0
3.41 0.17481 0
3.415 0.174803 0
3.42 0.174795 0
3.425 0.174787 0
3.43 0.174779 0
3.435 0.17477 0
3.44 0.174762 0
3.445 0.174754 0
3.45 0.174746 0
3.455 0.174738 0
3.46 0.174729 0
3.465 0.174721 0
3.47 0.174712 0
3.475 0.174705 0
3.48 0.174698 0
3.485 0.17469 0
3.49 0.174683 0
3.495 0.174675 0
3.5 0.174667 0
3.505 0.174658 0
3.51 0.174651 0
3.515 0.174643 0
3.52 0.174635 0
3.525 0.174627 0
3.53 0.174618 0
3.535 0.174611 0
3.54 0.174603 0
3.545 0.174596 0
3.55 0.174588 0
3.555 0.17458 0
3.56 0.174573 0
3.565 0.174565 0
3.57 0.174557 0
3.575 0.174549 0
3.58 0.174542 0
3.585 0.174534 0
3.59 0.174527 0
3.595 0.17452 0
3.6 0.174512 0
3.605 0.174504 0
3.61 0.174497 0
3.615 0.174489 0
3.62 0.174481 0
3.625 0.174474 0
3.63 0.174468 0
3.635 0.174459 0
3.64 0.174452 0
3.645 0.174445 0
3.65 0.174438 0
3.655 0.17443 0
3.66 0.174423 0
3.665 0.174415 0
3.67 0.174408 0
3.675 0.1744 0
3.68 0.174394 0
3.685 0.174386 0
3.69 0.174379 0
