t ke gpe 
0 0.488592 0
0.000568182 0.488479 0
0.00191558 0.488222 0
0.00353247 0.487923 0
0.00568831 0.487537 0
0.00784416 0.487162 0
0.01 0.486798 0
0.0125 0.486387 0
0.015 0.485975 0
0.0175 0.485583 0
0.02 0.485201 0
0.0233333 0.484704 0
0.0266667 0.484221 0
0.03 0.48375 0
0.0333333 0.48329 0
0.0366667 0.482841 0
0.04 0.482401 0
0.045 0.48176 0
0.05 0.481139 0
0.055 0.480534 0
0.06 0.479945 0
0.065 0.479373 0
0.07 0.478813 0
0.075 0.478266 0
0.08 0.477731 0
0.085 0.477207 0
0.09 0.47669 0
0.095 0.476186 0
0.1 0.475691 0
0.105 0.475208 0
0.11 0.474733 0
0.115 0.474264 0
0.12 0.473806 0
0.125 0.473354 0
0.13 0.472909 0
0.135 0.472472 0
0.14 0.472042 0
0.145 0.471617 0
0.15 0.471199 0
0.155 0.470787 0
0.16 0.470381 0
0.165 0.469981 0
0.17 0.469585 0
0.175 0.469194 0
0.18 0.468808 0
0.185 0.468425 0
0.19 0.468048 0
0.195 0.467675 0
0.2 0.467306 0
0.205 0.466942 0
0.21 0.466582 0
0.215 0.466225 0
0.22 0.465871 0
0.225 0.465522 0
0.23 0.465177 0
0.235 0.464836 0
0.24 0.464497 0
0.245 0.464162 0
0.25 0.463831 0
0.255 0.463502 0
0.26 0.463176 0
0.265 0.462853 0
0.27 0.462533 0
0.275 0.462215 0
0.28 0.4619 0
0.285 0.461587 0
0.29 0.461277 0
0.295 0.46097 0
0.3 0.460665 0
0.305 0.460363 0
0.31 0.460062 0
0.315 0.459763 0
0.32 0.459468 0
0.325 0.459172 0
0.33 0.458879 0
0.335 0.458589 0
0.34 0.4583 0
0.345 0.458014 0
0.35 0.457729 0
0.355 0.457447 0
0.36 0.457167 0
0.365 0.456889 0
0.37 0.456612 0
0.375 0.456337 0
0.38 0.456063 0
0.385 0.455791 0
0.39 0.45552 0
0.395 0.455251 0
0.4 0.454984 0
0.405 0.454718 0
0.41 0.454453 0
0.415 0.45419 0
0.42 0.453928 0
0.425 0.453668 0
0.43 0.453408 0
0.435 0.45315 0
0.44 0.452894 0
0.445 0.452639 0
0.45 0.452384 0
0.455 0.452131 0
0.46 0.451879 0
0.465 0.451629 0
0.47 0.451379 0
0.475 0.45113 0
0.4775 0.451006 0
0.48 0.450883 0
0.483333 0.450718 0
0.486667 0.450554 0
0.49 0.45039 0
0.493333 0.450227 0
0.496667 0.450064 0
0.5 0.449902 0
0.503333 0.44974 0
0.506667 0.449578 0
0.51 0.449417 0
0.513333 0.449256 0
0.516667 0.449095 0
0.52 0.448935 0
0.523333 0.448774 0
0.526667 0.448614 0
0.53 0.448455 0
0.533333 0.448297 0
0.536667 0.448138 0
0.54 0.447981 0
0.543333 0.447822 0
0.546667 0.447664 0
0.55 0.447507 0
0.553333 0.447351 0
0.556667 0.447194 0
0.56 0.447038 0
0.563333 0.446883 0
0.566667 0.446727 0
0.57 0.446571 0
0.573333 0.446416 0
0.576667 0.446261 0
