t ke gpe 
0 0.501599 0
0.000568182 0.500942 0
0.00191558 0.499755 0
0.00353247 0.498561 0
0.00568831 0.497254 0
0.00784416 0.496164 0
0.01 0.495226 0
0.0125 0.494281 0
0.015 0.493442 0
0.0175 0.492683 0
0.02 0.491985 0
0.0233333 0.491133 0
0.0266667 0.490347 0
0.03 0.489608 0
0.0333333 0.488913 0
0.0366667 0.488255 0
0.04 0.48763 0
0.045 0.486746 0
0.05 0.485913 0
0.055 0.485121 0
0.06 0.484366 0
0.065 0.483644 0
0.07 0.482949 0
0.075 0.482279 0
0.08 0.481631 0
0.085 0.481005 0
0.09 0.480395 0
0.095 0.479804 0
0.1 0.479228 0
0.105 0.478665 0
0.11 0.478116 0
0.115 0.47758 0
0.12 0.477056 0
0.125 0.476543 0
0.13 0.47604 0
0.135 0.475548 0
0.14 0.475066 0
0.145 0.474592 0
0.15 0.474127 0
0.155 0.47367 0
0.16 0.473221 0
0.165 0.472779 0
0.17 0.472345 0
0.175 0.471915 0
0.18 0.471492 0
0.185 0.471076 0
0.19 0.470666 0
0.195 0.470261 0
0.2 0.469862 0
0.205 0.469467 0
0.21 0.469078 0
0.215 0.468693 0
0.22 0.468314 0
0.225 0.467939 0
0.23 0.467569 0
0.235 0.467203 0
0.24 0.46684 0
0.245 0.466482 0
0.25 0.466128 0
0.255 0.465777 0
0.26 0.46543 0
0.265 0.465087 0
0.27 0.464746 0
0.275 0.464409 0
0.28 0.464075 0
0.285 0.463744 0
0.29 0.463416 0
0.295 0.463091 0
0.3 0.462769 0
0.305 0.46245 0
0.31 0.462133 0
0.315 0.461819 0
0.32 0.461508 0
0.325 0.461199 0
0.33 0.460891 0
0.335 0.460587 0
0.34 0.460284 0
0.345 0.459982 0
0.35 0.459684 0
0.355 0.459387 0
0.36 0.459094 0
0.365 0.458803 0
0.37 0.458513 0
0.375 0.458225 0
0.38 0.45794 0
0.385 0.457656 0
0.39 0.457373 0
0.395 0.457092 0
0.4 0.456814 0
0.405 0.456537 0
0.41 0.456262 0
0.415 0.455987 0
0.42 0.455714 0
0.425 0.455444 0
0.43 0.455174 0
0.435 0.454907 0
0.4375 0.454774 0
0.44 0.45464 0
0.443333 0.454463 0
0.446667 0.454286 0
0.45 0.454111 0
0.453333 0.453936 0
0.456667 0.453761 0
0.46 0.453587 0
0.463333 0.453413 0
0.466667 0.45324 0
0.47 0.453068 0
0.473333 0.452896 0
0.476667 0.452724 0
0.48 0.452553 0
0.483333 0.452383 0
0.486667 0.452213 0
0.49 0.452043 0
0.493333 0.451875 0
0.496667 0.451707 0
0.5 0.451539 0
0.503333 0.451371 0
0.506667 0.451204 0
0.51 0.451038 0
0.513333 0.450872 0
0.516667 0.450706 0
0.52 0.450539 0
0.523333 0.450374 0
0.526667 0.45021 0
0.53 0.450046 0
0.533333 0.449882 0
0.536667 0.449718 0
0.54 0.449555 0
0.543333 0.449392 0
0.546667 0.44923 0
0.55 0.449068 0
0.553333 0.448906 0
0.556667 0.448745 0
0.56 0.448583 0
0.563333 0.448423 0
0.566667 0.448262 0
0.57 0.448102 0
0.573333 0.447942 0
0.576667 0.447782 0
0.58 0.447622 0
0.583333 0.447463 0
0.586667 0.447303 0
0.59 0.447144 0
0.593333 0.446985 0
0.596667 0.446827 0
0.6 0.446669 0
0.603333 0.446512 0
0.606667 0.446355 0
0.61 0.446198 0
0.613333 0.446041 0
0.616667 0.445885 0
0.62 0.445727 0
0.623333 0.44557 0
0.626667 0.445414 0
0.63 0.445257 0
0.633333 0.445101 0
0.636667 0.444946 0
0.64 0.44479 0
0.643333 0.444634 0
0.646667 0.444479 0
0.65 0.444323 0
0.653333 0.444168 0
0.656667 0.444013 0
0.66 0.443857 0
0.663333 0.443702 0
0.666667 0.443548 0
0.67 0.443393 0
0.673333 0.443239 0
0.676667 0.443085 0
0.68 0.442931 0
0.683333 0.442776 0
0.686667 0.442623 0
0.69 0.442469 0
0.693333 0.442314 0
0.696667 0.442161 0
0.7 0.442008 0
0.703333 0.441855 0
0.706667 0.441701 0
0.71 0.441548 0
0.713333 0.441394 0
0.716667 0.441241 0
0.72 0.441089 0
0.723333 0.440935 0
0.726667 0.440783 0
0.73 0.440631 0
0.733333 0.440478 0
0.736667 0.440326 0
0.74 0.440174 0
0.743333 0.440022 0
0.746667 0.43987 0
0.75 0.439719 0
0.753333 0.439567 0
0.756667 0.439415 0
0.76 0.439265 0
0.763333 0.439113 0
0.766667 0.438962 0
0.77 0.438812 0
0.773333 0.438661 0
0.776667 0.438511 0
0.78 0.438361 0
0.783333 0.43821 0
0.786667 0.43806 0
0.79 0.437909 0
0.793333 0.43776 0
0.796667 0.43761 0
0.8 0.43746 0
0.803333 0.437311 0
0.806667 0.437161 0
0.81 0.437011 0
0.813333 0.436862 0
0.816667 0.436713 0
0.82 0.436565 0
0.823333 0.436417 0
0.826667 0.436268 0
0.83 0.43612 0
0.833333 0.435973 0
0.836667 0.435825 0
0.84 0.435679 0
0.843333 0.435533 0
0.846667 0.435386 0
0.85 0.43524 0
0.853333 0.435094 0
0.856667 0.434948 0
0.86 0.434802 0
0.863333 0.434657 0
0.866667 0.434512 0
0.87 0.434367 0
0.873333 0.434222 0
0.876667 0.434078 0
0.88 0.433934 0
0.883333 0.43379 0
0.886667 0.433647 0
0.89 0.433502 0
0.893333 0.433359 0
0.896667 0.433216 0
0.9 0.433074 0
0.903333 0.432931 0
0.906667 0.432789 0
0.91 0.432648 0
0.913333 0.432507 0
0.916667 0.432366 0
0.92 0.432225 0
0.923333 0.432085 0
0.926667 0.431945 0
0.93 0.431806 0
0.933333 0.431667 0
0.936667 0.431527 0
0.94 0.431389 0
0.943333 0.43125 0
0.946667 0.431113 0
0.95 0.430975 0
0.953333 0.430838 0
0.956667 0.430701 0
0.96 0.430566 0
0.963333 0.430429 0
0.966667 0.430294 0
0.97 0.430159 0
0.973333 0.430024 0
0.976667 0.429889 0
0.98 0.429755 0
0.983333 0.429623 0
0.986667 0.429489 0
0.99 0.429357 0
0.993333 0.429226 0
0.996667 0.429092 0
1 0.42896 0
1.00333 0.428829 0
1.00667 0.428699 0
1.01 0.428568 0
1.01333 0.428439 0
1.01667 0.42831 0
