t ke gpe 
0 0.0530271 0
0.00103078 0.0533232 0
0.00327309 0.0538801 0
0.00551539 0.054399 0
0.0077577 0.0548761 0
0.01 0.0553126 0
0.0133333 0.0558843 0
0.0166667 0.0563915 0
0.02 0.0568457 0
0.025 0.0574385 0
0.03 0.0579638 0
0.035 0.0584384 0
0.04 0.0588746 0
0.045 0.0592777 0
0.05 0.0596555 0
0.055 0.0600098 0
0.06 0.0603457 0
0.065 0.060666 0
0.07 0.0609725 0
0.075 0.0612672 0
0.08 0.0615506 0
0.085 0.0618247 0
0.09 0.0620898 0
0.095 0.062347 0
0.1 0.0625968 0
0.105 0.0628398 0
0.11 0.0630769 0
0.115 0.0633081 0
0.12 0.0635348 0
0.125 0.063756 0
0.13 0.0639728 0
0.135 0.0641847 0
0.14 0.0643927 0
0.145 0.0645964 0
0.15 0.0647971 0
0.155 0.0649937 0
0.16 0.065187 0
0.165 0.0653766 0
0.17 0.0655632 0
0.175 0.0657471 0
0.18 0.0659276 0
0.185 0.0661056 0
0.19 0.066281 0
0.195 0.066454 0
0.2 0.0666243 0
0.205 0.0667922 0
0.21 0.066958 0
0.215 0.0671219 0
0.22 0.0672833 0
0.225 0.0674426 0
0.23 0.0675998 0
0.235 0.0677553 0
0.24 0.0679088 0
0.245 0.0680606 0
0.25 0.0682108 0
0.255 0.0683594 0
0.26 0.0685063 0
0.265 0.0686514 0
0.27 0.0687951 0
0.275 0.0689369 0
0.28 0.0690772 0
0.285 0.0692162 0
0.29 0.0693539 0
0.295 0.0694902 0
0.3 0.0696252 0
0.305 0.0697588 0
0.31 0.0698914 0
0.315 0.0700226 0
0.32 0.0701524 0
0.325 0.0702811 0
0.33 0.0704085 0
0.335 0.0705348 0
0.34 0.0706602 0
0.345 0.0707844 0
0.35 0.0709078 0
0.355 0.07103 0
0.36 0.0711512 0
0.365 0.0712714 0
0.37 0.0713907 0
0.375 0.0715087 0
0.38 0.0716261 0
0.385 0.0717424 0
0.39 0.0718579 0
0.395 0.0719725 0
0.4 0.0720866 0
0.405 0.0721994 0
0.41 0.0723116 0
0.415 0.0724227 0
0.42 0.0725332 0
0.425 0.072643 0
0.43 0.072752 0
0.435 0.0728602 0
0.44 0.0729674 0
0.445 0.0730744 0
0.45 0.0731807 0
0.455 0.0732862 0
0.46 0.0733909 0
0.465 0.0734951 0
0.47 0.0735985 0
0.475 0.0737011 0
0.48 0.073803 0
0.485 0.0739045 0
0.49 0.0740052 0
0.495 0.0741052 0
0.5 0.0742047 0
0.505 0.0743036 0
0.51 0.0744018 0
0.515 0.0744995 0
0.52 0.0745967 0
0.525 0.0746938 0
0.53 0.0747898 0
0.535 0.0748853 0
0.54 0.0749803 0
0.545 0.0750751 0
0.55 0.0751692 0
0.555 0.0752624 0
0.56 0.0753555 0
0.565 0.075448 0
0.57 0.07554 0
0.575 0.0756313 0
0.58 0.0757222 0
0.585 0.0758128 0
0.59 0.0759029 0
0.595 0.0759926 0
0.6 0.0760818 0
0.605 0.0761704 0
0.61 0.0762588 0
0.615 0.0763465 0
0.62 0.0764342 0
0.625 0.0765212 0
0.63 0.0766079 0
0.635 0.0766943 0
0.64 0.0767801 0
0.645 0.0768655 0
0.65 0.0769506 0
0.655 0.0770352 0
0.66 0.0771197 0
0.665 0.0772036 0
0.67 0.0772869 0
0.675 0.0773703 0
0.68 0.0774533 0
0.685 0.0775357 0
0.69 0.0776177 0
0.695 0.0776997 0
0.7 0.0777813 0
0.705 0.0778624 0
0.71 0.0779431 0
0.715 0.078024 0
0.72 0.0781043 0
0.725 0.0781843 0
0.73 0.078264 0
0.735 0.0783435 0
0.74 0.0784227 0
0.745 0.0785019 0
0.75 0.0785804 0
0.755 0.0786589 0
0.76 0.078737 0
0.765 0.0788149 0
0.77 0.0788926 0
0.775 0.07897 0
0.78 0.0790471 0
0.785 0.0791241 0
0.79 0.0792008 0
0.795 0.0792777 0
0.8 0.079354 0
0.805 0.0794301 0
0.81 0.0795062 0
0.815 0.0795818 0
0.82 0.0796573 0
0.825 0.0797324 0
0.83 0.0798078 0
0.835 0.0798826 0
0.84 0.0799576 0
0.845 0.0800321 0
0.85 0.0801063 0
0.855 0.0801809 0
0.86 0.0802549 0
0.865 0.0803287 0
0.87 0.0804024 0
0.875 0.0804762 0
0.88 0.0805503 0
0.885 0.0806235 0
0.89 0.0806965 0
0.895 0.0807693 0
0.9 0.0808419 0
0.905 0.0809143 0
0.91 0.0809867 0
0.915 0.0810588 0
0.92 0.0811308 0
0.925 0.0812028 0
0.93 0.0812746 0
0.935 0.0813461 0
0.94 0.0814177 0
0.945 0.0814888 0
0.95 0.0815599 0
0.955 0.081631 0
0.96 0.0817018 0
0.965 0.0817722 0
0.97 0.0818425 0
0.975 0.0819129 0
0.98 0.0819829 0
0.985 0.0820529 0
0.99 0.0821226 0
0.995 0.0821923 0
1 0.0822618 0
1.005 0.082331 0
1.01 0.0824002 0
1.015 0.082469 0
1.02 0.0825384 0
1.025 0.082607 0
1.03 0.0826753 0
1.035 0.0827437 0
1.04 0.0828116 0
1.045 0.0828794 0
1.05 0.0829472 0
1.055 0.0830147 0
1.06 0.0830824 0
1.065 0.0831501 0
1.07 0.083217 0
1.075 0.0832839 0
1.08 0.0833513 0
1.085 0.0834179 0
1.09 0.0834843 0
1.095 0.0835506 0
1.1 0.0836168 0
1.105 0.0836827 0
1.11 0.0837484 0
1.115 0.083814 0
1.12 0.0838793 0
1.125 0.0839444 0
1.13 0.0840096 0
1.135 0.0840742 0
1.14 0.0841392 0
1.145 0.0842038 0
1.15 0.0842683 0
1.155 0.0843323 0
1.16 0.0843964 0
1.165 0.0844604 0
1.17 0.0845242 0
1.175 0.0845879 0
1.18 0.084652 0
1.185 0.0847152 0
1.19 0.0847782 0
1.195 0.0848417 0
1.2 0.0849047 0
1.205 0.0849675 0
1.21 0.0850303 0
1.215 0.0850926 0
1.22 0.085155 0
1.225 0.0852173 0
1.23 0.0852794 0
1.235 0.0853413 0
1.24 0.0854028 0
1.245 0.085464 0
1.25 0.0855254 0
1.255 0.0855868 0
1.26 0.0856474 0
1.265 0.0857086 0
1.27 0.0857692 0
1.275 0.0858295 0
1.28 0.0858901 0
1.285 0.0859501 0
1.29 0.0860103 0
1.295 0.08607 0
1.3 0.0861298 0
1.305 0.0861896 0
1.31 0.0862489 0
1.315 0.0863083 0
1.32 0.0863677 0
1.325 0.0864267 0
1.33 0.0864857 0
1.335 0.0865444 0
1.34 0.0866029 0
1.345 0.0866612 0
1.35 0.0867196 0
1.355 0.086778 0
1.36 0.0868358 0
1.365 0.0868937 0
1.37 0.0869517 0
1.375 0.0870094 0
1.38 0.0870666 0
1.385 0.0871239 0
1.39 0.0871813 0
1.395 0.0872382 0
1.4 0.0872952 0
1.405 0.0873521 0
1.41 0.0874087 0
1.415 0.0874652 0
1.42 0.0875212 0
1.425 0.0875781 0
1.43 0.087634 0
1.435 0.0876896 0
1.44 0.0877452 0
1.445 0.087801 0
1.45 0.0878561 0
1.455 0.0879114 0
1.46 0.0879662 0
1.465 0.0880212 0
1.47 0.088076 0
1.475 0.0881305 0
1.48 0.0881847 0
1.485 0.0882391 0
1.49 0.0882931 0
1.495 0.0883472 0
1.5 0.0884012 0
1.505 0.0884552 0
1.51 0.0885085 0
1.515 0.0885619 0
1.52 0.088615 0
1.525 0.0886679 0
1.53 0.0887206 0
1.535 0.0887734 0
1.54 0.0888257 0
1.545 0.0888784 0
1.55 0.0889305 0
1.555 0.0889822 0
1.56 0.0890341 0
1.565 0.0890863 0
1.57 0.0891373 0
1.575 0.0891886 0
1.58 0.0892399 0
1.585 0.0892908 0
1.59 0.0893417 0
1.595 0.0893923 0
1.6 0.0894427 0
1.605 0.0894933 0
1.61 0.0895432 0
1.615 0.0895931 0
1.62 0.0896432 0
1.625 0.0896932 0
1.63 0.0897427 0
1.635 0.089792 0
1.64 0.0898411 0
1.645 0.0898899 0
1.65 0.0899388 0
1.655 0.0899874 0
1.66 0.090036 0
1.665 0.0900844 0
1.67 0.0901327 0
1.675 0.0901803 0
1.68 0.090228 0
1.685 0.0902763 0
1.69 0.0903236 0
1.695 0.0903705 0
1.7 0.0904178 0
1.705 0.0904647 0
1.71 0.0905115 0
1.715 0.0905581 0
1.72 0.0906046 0
1.725 0.0906507 0
1.73 0.0906974 0
1.735 0.0907436 0
1.74 0.0907891 0
