t ke gpe 
0 0.23489 0
0.000568182 0.234833 0
0.00191558 0.234819 0
0.00353247 0.234803 0
0.00568831 0.234781 0
0.00784416 0.234759 0
0.01 0.234738 0
0.0125 0.234711 0
0.015 0.234686 0
0.0175 0.234661 0
0.02 0.234636 0
0.0233333 0.234602 0
0.0266667 0.234568 0
0.03 0.234534 0
0.0333333 0.234499 0
0.0366667 0.234465 0
0.04 0.234432 0
0.045 0.234379 0
0.05 0.234327 0
0.055 0.234275 0
0.06 0.234225 0
0.065 0.234173 0
0.07 0.234122 0
0.075 0.23407 0
0.08 0.234019 0
0.085 0.233969 0
0.09 0.233918 0
0.095 0.233867 0
0.1 0.233817 0
0.105 0.233767 0
0.11 0.233717 0
0.115 0.233666 0
0.12 0.233616 0
0.125 0.233564 0
0.13 0.233514 0
0.135 0.233463 0
0.14 0.233411 0
0.145 0.233361 0
0.15 0.23331 0
0.155 0.233258 0
0.16 0.233208 0
0.165 0.233157 0
0.17 0.233106 0
0.175 0.233056 0
0.18 0.233006 0
0.185 0.232954 0
0.19 0.232903 0
0.195 0.232852 0
0.2 0.2328 0
0.205 0.232749 0
0.21 0.232699 0
0.215 0.232648 0
0.22 0.232596 0
0.225 0.232546 0
0.23 0.232493 0
0.235 0.232442 0
0.24 0.232391 0
0.245 0.232339 0
0.25 0.232286 0
0.255 0.232235 0
0.26 0.232183 0
0.265 0.232132 0
0.27 0.232081 0
0.275 0.232029 0
0.28 0.231977 0
0.285 0.231926 0
0.29 0.231874 0
0.295 0.231822 0
0.3 0.23177 0
0.305 0.231718 0
0.31 0.231666 0
0.315 0.231614 0
0.32 0.231562 0
0.325 0.23151 0
0.33 0.231456 0
0.335 0.231402 0
0.34 0.231349 0
0.345 0.231295 0
0.35 0.231243 0
0.355 0.231191 0
0.36 0.231138 0
0.365 0.231085 0
0.37 0.231032 0
0.375 0.230979 0
0.38 0.230927 0
0.385 0.230875 0
0.39 0.230822 0
0.395 0.230769 0
0.4 0.230715 0
0.405 0.230662 0
0.41 0.230609 0
0.415 0.230556 0
0.42 0.230504 0
0.425 0.23045 0
0.43 0.230399 0
0.435 0.230348 0
0.44 0.230297 0
0.445 0.230245 0
0.45 0.230191 0
0.455 0.230138 0
0.46 0.230085 0
0.465 0.230031 0
0.47 0.229978 0
0.475 0.229925 0
0.48 0.229872 0
0.485 0.229819 0
0.49 0.229768 0
0.495 0.229715 0
0.5 0.229663 0
0.505 0.22961 0
0.51 0.229557 0
0.515 0.229505 0
0.52 0.229453 0
0.525 0.2294 0
0.53 0.229348 0
0.535 0.229295 0
0.54 0.229242 0
0.545 0.229189 0
0.55 0.229136 0
0.555 0.229084 0
0.56 0.229031 0
0.565 0.228978 0
0.57 0.228925 0
0.575 0.228872 0
0.58 0.228819 0
0.585 0.228766 0
0.59 0.228713 0
0.595 0.228661 0
0.6 0.228608 0
0.605 0.228555 0
0.61 0.228503 0
0.615 0.22845 0
0.62 0.228398 0
0.625 0.228346 0
0.63 0.228294 0
0.635 0.228242 0
0.64 0.228191 0
0.645 0.228138 0
0.65 0.228086 0
0.655 0.228034 0
0.66 0.227981 0
0.665 0.227928 0
0.67 0.227876 0
0.675 0.227823 0
0.68 0.227771 0
0.685 0.227719 0
0.69 0.227667 0
0.695 0.227615 0
0.7 0.227562 0
0.705 0.227511 0
0.71 0.227459 0
0.715 0.227408 0
0.72 0.227354 0
0.725 0.227302 0
0.73 0.227251 0
0.735 0.227199 0
0.74 0.227147 0
0.745 0.227095 0
0.75 0.227044 0
0.755 0.226992 0
0.76 0.22694 0
0.765 0.226889 0
0.77 0.226837 0
0.775 0.226785 0
0.78 0.226734 0
0.785 0.226682 0
0.79 0.226631 0
0.795 0.226579 0
0.8 0.226528 0
0.805 0.226477 0
0.81 0.226425 0
0.815 0.226373 0
0.82 0.226322 0
0.825 0.226271 0
0.83 0.22622 0
0.835 0.226169 0
0.84 0.226118 0
0.845 0.226068 0
0.85 0.226017 0
0.855 0.225966 0
0.86 0.225915 0
0.865 0.225864 0
0.87 0.225814 0
0.875 0.225763 0
0.88 0.225712 0
0.885 0.225661 0
0.89 0.225611 0
0.895 0.225559 0
0.9 0.225509 0
0.905 0.225459 0
0.91 0.225409 0
0.915 0.225358 0
0.92 0.225308 0
0.925 0.225257 0
0.93 0.225207 0
0.935 0.225158 0
0.94 0.225108 0
0.945 0.225058 0
0.95 0.225008 0
0.955 0.224957 0
0.96 0.224908 0
0.965 0.224857 0
0.97 0.224807 0
0.975 0.224758 0
0.98 0.224708 0
0.985 0.224659 0
0.99 0.224609 0
0.995 0.224561 0
1 0.224512 0
1.005 0.224462 0
1.01 0.224414 0
1.015 0.224365 0
1.02 0.224315 0
1.025 0.224265 0
1.03 0.224216 0
1.035 0.224167 0
1.04 0.224118 0
1.045 0.224069 0
1.05 0.224021 0
1.055 0.223973 0
1.06 0.223925 0
1.065 0.223877 0
1.07 0.223829 0
1.075 0.223782 0
1.08 0.223735 0
1.085 0.223686 0
1.09 0.223639 0
1.095 0.223591 0
1.1 0.223543 0
1.105 0.223495 0
1.11 0.223447 0
1.115 0.223399 0
1.12 0.223351 0
1.125 0.223305 0
1.13 0.223257 0
1.135 0.22321 0
1.14 0.223163 0
1.145 0.223116 0
1.15 0.22307 0
1.155 0.223022 0
1.16 0.222976 0
1.165 0.222929 0
1.17 0.222882 0
1.175 0.222835 0
1.18 0.222789 0
1.185 0.222743 0
1.19 0.222697 0
1.195 0.22265 0
1.2 0.222604 0
1.205 0.222559 0
1.21 0.222513 0
1.215 0.222468 0
1.22 0.222422 0
1.225 0.222377 0
1.23 0.222332 0
1.235 0.222286 0
1.24 0.22224 0
1.245 0.222195 0
1.25 0.222149 0
1.255 0.222103 0
1.26 0.222058 0
1.265 0.222014 0
1.27 0.221969 0
1.275 0.221925 0
1.28 0.221881 0
1.285 0.221835 0
1.29 0.221791 0
1.295 0.221745 0
1.3 0.221701 0
1.305 0.221656 0
1.31 0.221612 0
1.315 0.221568 0
1.32 0.221523 0
1.325 0.221479 0
1.33 0.221436 0
1.335 0.221393 0
1.34 0.221348 0
1.345 0.221304 0
1.35 0.22126 0
1.355 0.221216 0
1.36 0.221172 0
1.365 0.221128 0
1.37 0.221085 0
1.375 0.221041 0
1.38 0.220998 0
1.385 0.220956 0
1.39 0.220913 0
1.395 0.22087 0
1.4 0.220827 0
1.405 0.220785 0
1.41 0.220741 0
1.415 0.220698 0
1.42 0.220655 0
1.425 0.220613 0
1.43 0.220571 0
1.435 0.220528 0
1.44 0.220486 0
1.445 0.220442 0
1.45 0.2204 0
1.455 0.220358 0
1.46 0.220314 0
1.465 0.220273 0
1.47 0.220231 0
1.475 0.22019 0
1.48 0.220148 0
1.485 0.220107 0
1.49 0.220066 0
1.495 0.220025 0
1.5 0.219983 0
1.505 0.219941 0
1.51 0.2199 0
1.515 0.219858 0
1.52 0.219817 0
1.525 0.219776 0
1.53 0.219735 0
1.535 0.219694 0
1.54 0.219654 0
1.545 0.219612 0
1.55 0.219571 0
1.555 0.219531 0
1.56 0.219491 0
1.565 0.219451 0
1.57 0.219411 0
1.575 0.219371 0
1.58 0.219331 0
1.585 0.21929 0
1.59 0.219251 0
1.595 0.219211 0
1.6 0.219171 0
1.605 0.219131 0
1.61 0.219092 0
1.615 0.219052 0
1.62 0.219012 0
1.625 0.218973 0
1.63 0.218933 0
1.635 0.218894 0
1.64 0.218855 0
1.645 0.218816 0
1.65 0.218777 0
1.655 0.218738 0
1.66 0.218699 0
1.665 0.218659 0
1.67 0.218621 0
1.675 0.218583 0
1.68 0.218544 0
1.685 0.218505 0
1.69 0.218465 0
1.695 0.218427 0
1.7 0.218389 0
1.705 0.218352 0
1.71 0.218313 0
1.715 0.218276 0
1.72 0.218238 0
1.725 0.2182 0
1.73 0.218161 0
1.735 0.218123 0
1.74 0.218086 0
1.745 0.218048 0
1.75 0.218009 0
1.755 0.217972 0
1.76 0.217935 0
1.765 0.217898 0
1.77 0.21786 0
1.775 0.217822 0
1.78 0.217785 0
1.785 0.217747 0
1.79 0.21771 0
1.795 0.217673 0
1.8 0.217637 0
1.805 0.2176 0
1.81 0.217563 0
1.815 0.217526 0
1.82 0.217489 0
1.825 0.217453 0
1.83 0.217417 0
1.835 0.21738 0
1.84 0.217344 0
1.845 0.217308 0
1.85 0.217271 0
1.855 0.217234 0
1.86 0.217198 0
1.865 0.217162 0
1.87 0.217126 0
1.875 0.217089 0
1.88 0.217053 0
1.885 0.217016 0
1.89 0.216981 0
1.895 0.216944 0
1.9 0.216909 0
1.905 0.216873 0
1.91 0.216837 0
1.915 0.216802 0
1.92 0.216767 0
1.925 0.21673 0
1.93 0.216694 0
1.935 0.21666 0
1.94 0.216624 0
1.945 0.216588 0
1.95 0.216553 0
1.955 0.216518 0
1.96 0.216483 0
1.965 0.216447 0
1.97 0.216412 0
1.975 0.216377 0
1.98 0.216341 0
1.985 0.216306 0
1.99 0.216271 0
1.995 0.216236 0
2 0.216201 0
2.005 0.216167 0
2.01 0.216132 0
2.015 0.216098 0
2.02 0.216063 0
2.025 0.216029 0
2.03 0.215995 0
2.035 0.215959 0
2.04 0.215926 0
2.045 0.215891 0
2.05 0.215857 0
2.055 0.215822 0
2.06 0.215789 0
2.065 0.215754 0
2.07 0.21572 0
2.075 0.215685 0
2.08 0.215651 0
2.085 0.215617 0
2.09 0.215582 0
2.095 0.215549 0
2.1 0.215515 0
2.105 0.215481 0
2.11 0.215446 0
2.115 0.215412 0
2.12 0.215378 0
2.125 0.215344 0
2.13 0.215309 0
2.135 0.215275 0
2.14 0.215242 0
2.145 0.215207 0
2.15 0.215174 0
2.155 0.21514 0
2.16 0.215107 0
2.165 0.215074 0
2.17 0.215041 0
2.175 0.215008 0
2.18 0.214975 0
2.185 0.214941 0
2.19 0.214908 0
2.195 0.214875 0
2.2 0.214842 0
2.205 0.21481 0
2.21 0.214777 0
2.215 0.214744 0
2.22 0.214711 0
2.225 0.214678 0
2.23 0.214645 0
2.235 0.214613 0
2.24 0.214579 0
2.245 0.214547 0
2.25 0.214515 0
2.255 0.214482 0
2.26 0.21445 0
2.265 0.214418 0
2.27 0.214385 0
2.275 0.214353 0
2.28 0.214321 0
2.285 0.214288 0
2.29 0.214257 0
2.295 0.214224 0
2.3 0.214193 0
2.305 0.214162 0
2.31 0.214129 0
2.315 0.214097 0
2.32 0.214064 0
2.325 0.214033 0
2.33 0.214002 0
2.335 0.21397 0
2.34 0.213939 0
2.345 0.213907 0
2.35 0.213876 0
2.355 0.213845 0
2.36 0.213814 0
2.365 0.213783 0
2.37 0.213752 0
2.375 0.213721 0
2.38 0.213691 0
2.385 0.21366 0
2.39 0.213629 0
2.395 0.213599 0
2.4 0.213567 0
2.405 0.213536 0
2.41 0.213506 0
2.415 0.213476 0
2.42 0.213446 0
2.425 0.213416 0
2.43 0.213386 0
2.435 0.213355 0
2.44 0.213325 0
2.445 0.213295 0
2.45 0.213265 0
2.455 0.213235 0
2.46 0.213205 0
2.465 0.213175 0
2.47 0.213145 0
2.475 0.213115 0
2.48 0.213085 0
2.485 0.213056 0
2.49 0.213026 0
2.495 0.212997 0
2.5 0.212967 0
2.505 0.212938 0
2.51 0.212908 0
2.515 0.212877 0
2.52 0.212847 0
2.525 0.212818 0
2.53 0.212789 0
2.535 0.212759 0
2.54 0.21273 0
2.545 0.212701 0
2.55 0.212672 0
2.555 0.212642 0
2.56 0.212613 0
2.565 0.212584 0
2.57 0.212554 0
2.575 0.212525 0
2.58 0.212496 0
