t ke gpe 
0 0.494979 0
0.000568182 0.49478 0
0.00191558 0.494334 0
0.00353247 0.493826 0
0.00568831 0.493189 0
0.00784416 0.49259 0
0.01 0.492024 0
0.0125 0.491402 0
0.015 0.490811 0
0.0175 0.490249 0
0.02 0.489711 0
0.0233333 0.489029 0
0.0266667 0.488371 0
0.03 0.487746 0
0.0333333 0.487151 0
0.0366667 0.486578 0
0.04 0.486025 0
0.045 0.485233 0
0.05 0.484478 0
0.055 0.483754 0
0.06 0.483057 0
0.065 0.482386 0
0.07 0.481737 0
0.075 0.481109 0
0.08 0.480498 0
0.085 0.479907 0
0.09 0.479327 0
0.095 0.478764 0
0.1 0.478212 0
0.105 0.477675 0
0.11 0.477149 0
0.115 0.476633 0
0.12 0.476129 0
0.125 0.475636 0
0.13 0.475151 0
0.135 0.474676 0
0.14 0.474209 0
0.145 0.473751 0
0.15 0.4733 0
0.155 0.472856 0
0.16 0.47242 0
0.165 0.471991 0
0.17 0.471568 0
0.175 0.471149 0
0.18 0.470737 0
0.185 0.470331 0
0.19 0.469931 0
0.195 0.469536 0
0.2 0.469146 0
0.205 0.46876 0
0.21 0.468379 0
0.215 0.468003 0
0.22 0.467632 0
0.225 0.467264 0
0.23 0.466902 0
0.235 0.466542 0
0.24 0.466187 0
0.245 0.465835 0
0.25 0.465488 0
0.255 0.465143 0
0.26 0.464802 0
0.265 0.464465 0
0.27 0.46413 0
0.275 0.463798 0
0.28 0.46347 0
0.285 0.463144 0
0.29 0.462821 0
0.295 0.462501 0
0.3 0.462184 0
0.305 0.46187 0
0.31 0.461558 0
0.315 0.461248 0
0.32 0.460941 0
0.325 0.460636 0
0.33 0.460334 0
0.335 0.460034 0
0.34 0.459733 0
0.345 0.459436 0
0.35 0.459142 0
0.355 0.45885 0
0.36 0.458561 0
0.365 0.458272 0
0.37 0.457986 0
0.375 0.457702 0
0.38 0.45742 0
0.385 0.457139 0
0.39 0.45686 0
0.395 0.456582 0
0.4 0.456307 0
0.405 0.456033 0
0.41 0.45576 0
0.415 0.455489 0
0.42 0.45522 0
0.425 0.454953 0
0.43 0.454686 0
0.435 0.45442 0
0.44 0.454157 0
0.445 0.453894 0
0.4475 0.453763 0
0.45 0.453633 0
0.453333 0.45346 0
0.456667 0.453287 0
0.46 0.453115 0
0.463333 0.452943 0
0.466667 0.452772 0
0.47 0.4526 0
0.473333 0.45243 0
0.476667 0.45226 0
0.48 0.452091 0
0.483333 0.451922 0
0.486667 0.451754 0
0.49 0.451586 0
0.493333 0.451418 0
0.496667 0.451251 0
0.5 0.451085 0
0.503333 0.450919 0
0.506667 0.450754 0
0.51 0.450589 0
0.513333 0.450424 0
0.516667 0.45026 0
0.52 0.450095 0
0.523333 0.449931 0
0.526667 0.449768 0
0.53 0.449605 0
0.533333 0.449442 0
0.536667 0.44928 0
0.54 0.449119 0
0.543333 0.448957 0
0.546667 0.448796 0
0.55 0.448636 0
0.553333 0.448475 0
0.556667 0.448315 0
0.56 0.448155 0
0.563333 0.447996 0
0.566667 0.447837 0
0.57 0.447678 0
0.573333 0.447519 0
0.576667 0.447361 0
0.58 0.447202 0
0.583333 0.447043 0
0.586667 0.446886 0
0.59 0.446728 0
0.593333 0.446571 0
0.596667 0.446413 0
0.6 0.446257 0
0.603333 0.4461 0
0.606667 0.445945 0
0.61 0.445789 0
0.613333 0.445634 0
0.616667 0.445478 0
0.62 0.445322 0
0.623333 0.445166 0
0.626667 0.445011 0
0.63 0.444855 0
0.633333 0.444701 0
0.636667 0.444546 0
0.64 0.444392 0
0.643333 0.444237 0
0.646667 0.444083 0
0.65 0.443929 0
0.653333 0.443775 0
0.656667 0.44362 0
0.66 0.443466 0
0.663333 0.443312 0
0.666667 0.443159 0
0.67 0.443005 0
0.673333 0.442853 0
0.676667 0.4427 0
0.68 0.442547 0
0.683333 0.442394 0
0.686667 0.442241 0
0.69 0.442088 0
0.693333 0.441935 0
0.696667 0.441783 0
0.7 0.44163 0
0.703333 0.441478 0
0.706667 0.441326 0
0.71 0.441174 0
0.713333 0.441022 0
0.716667 0.44087 0
0.72 0.440718 0
0.723333 0.440566 0
0.726667 0.440415 0
0.73 0.440264 0
0.733333 0.440113 0
0.736667 0.439962 0
0.74 0.439811 0
0.743333 0.43966 0
0.746667 0.439509 0
0.75 0.439359 0
0.753333 0.439209 0
0.756667 0.439058 0
0.76 0.438908 0
0.763333 0.438758 0
0.766667 0.438608 0
0.77 0.438458 0
0.773333 0.438308 0
0.776667 0.438159 0
0.78 0.43801 0
0.783333 0.43786 0
0.786667 0.43771 0
0.79 0.43756 0
0.793333 0.437411 0
0.796667 0.437262 0
0.8 0.437113 0
0.803333 0.436965 0
0.806667 0.436815 0
0.81 0.436667 0
0.813333 0.436518 0
0.816667 0.43637 0
0.82 0.436223 0
0.823333 0.436075 0
0.826667 0.435927 0
0.83 0.43578 0
0.833333 0.435633 0
0.836667 0.435487 0
0.84 0.435342 0
0.843333 0.435196 0
0.846667 0.43505 0
0.85 0.434905 0
0.853333 0.43476 0
0.856667 0.434615 0
0.86 0.43447 0
0.863333 0.434325 0
0.866667 0.434181 0
0.87 0.434036 0
0.873333 0.433892 0
0.876667 0.433749 0
0.88 0.433606 0
0.883333 0.433463 0
0.886667 0.43332 0
0.89 0.433177 0
0.893333 0.433034 0
0.896667 0.432892 0
0.9 0.43275 0
0.903333 0.432608 0
0.906667 0.432467 0
0.91 0.432326 0
0.913333 0.432186 0
0.916667 0.432046 0
0.92 0.431905 0
0.923333 0.431766 0
0.926667 0.431627 0
0.93 0.431488 0
0.933333 0.43135 0
0.936667 0.431211 0
0.94 0.431073 0
0.943333 0.430936 0
0.946667 0.430799 0
0.95 0.430662 0
0.953333 0.430525 0
0.956667 0.43039 0
0.96 0.430255 0
0.963333 0.430119 0
0.966667 0.429984 0
0.97 0.42985 0
0.973333 0.429715 0
0.976667 0.429581 0
0.98 0.429448 0
0.983333 0.429315 0
0.986667 0.429183 0
0.99 0.429052 0
0.993333 0.428919 0
0.996667 0.428787 0
1 0.428655 0
1.00333 0.428525 0
1.00667 0.428395 0
1.01 0.428266 0
1.01333 0.428137 0
1.01667 0.428009 0
1.02 0.427881 0
1.02333 0.427753 0
1.02667 0.427626 0
1.03 0.427499 0
1.03333 0.427372 0
1.03667 0.427247 0
1.04 0.427121 0
1.04333 0.426995 0
1.04667 0.42687 0
1.05 0.426745 0
1.05333 0.426622 0
1.05667 0.426498 0
1.06 0.426374 0
1.06333 0.42625 0
