t ke gpe 
0 0 -0.124842
0.000118634 5.10963e-05 -0.124842
0.000353904 8.92935e-05 -0.124841
0.000637613 0.000145751 -0.12484
0.000971984 0.000230879 -0.124839
0.00134815 0.000346323 -0.124837
0.00176014 0.000489941 -0.124835
0.00219382 0.000651522 -0.124834
0.00265301 0.000832544 -0.124832
0.00314281 0.00102924 -0.12483
0.00367028 0.00124727 -0.124828
0.00419776 0.00146476 -0.124825
0.00477798 0.00170816 -0.124823
0.00535821 0.00195074 -0.12482
0.00593843 0.00219723 -0.124818
0.00651866 0.00244391 -0.124815
0.00709888 0.00269436 -0.124813
0.0076791 0.00294156 -0.12481
0.00825933 0.00319335 -0.124807
0.00883955 0.00344497 -0.124805
0.00941978 0.00370128 -0.124802
0.01 0.00395855 -0.124799
0.0106667 0.00426103 -0.124796
0.0113846 0.00458747 -0.124792
0.0121026 0.00492309 -0.124789
0.0128205 0.00526017 -0.124785
0.0135385 0.00560633 -0.124781
0.0142564 0.00594997 -0.124777
0.0149744 0.00629968 -0.124774
0.0156923 0.00665084 -0.12477
0.0164103 0.00701158 -0.124766
0.0171282 0.00737404 -0.124762
0.0178462 0.00774628 -0.124758
0.0185641 0.00812203 -0.124754
0.0192821 0.00850954 -0.124749
0.02 0.00889936 -0.124745
0.0207143 0.00929762 -0.124741
0.0214286 0.00969794 -0.124736
0.0221429 0.0101078 -0.124732
0.0228571 0.0105193 -0.124727
0.0235714 0.0109401 -0.124722
0.0242857 0.0113609 -0.124718
0.025 0.0117909 -0.124713
0.0257143 0.0122226 -0.124708
0.0264286 0.0126649 -0.124703
0.0271429 0.0131092 -0.124698
0.0278571 0.013563 -0.124693
0.0285714 0.0140214 -0.124688
0.0292857 0.0144913 -0.124683
0.03 0.0149631 -0.124677
0.0307143 0.0154452 -0.124672
0.0314286 0.0159292 -0.124666
0.0321429 0.0164238 -0.124661
0.0328571 0.0169204 -0.124655
0.0335714 0.0174257 -0.124649
0.0342857 0.0179326 -0.124643
0.035 0.0184512 -0.124637
0.0357143 0.0189719 -0.124631
0.0364286 0.0195029 -0.124625
0.0371429 0.0200372 -0.124619
0.0378571 0.0205837 -0.124613
0.0385714 0.0211321 -0.124606
