t ke gpe 
0 0 0
5.98582e-05 7.08515e-05 0
0.000179619 0.00015723 0
0.000326192 0.000298296 0
0.000495908 0.000509326 0
0.00068599 0.000793143 0
0.000892968 0.00115918 0
0.00112064 0.00159883 0
0.00136063 0.00212242 0
0.00161473 0.00269935 0
0.00188522 0.00336509 0
0.00216504 0.00407576 0
0.00245522 0.00486187 0
0.00275701 0.00567808 0
0.0030588 0.00656321 0
0.00337431 0.00749391 0
0.00368982 0.00850986 0
0.00400533 0.00954367 0
0.00433837 0.0107337 0
0.00467141 0.0119494 0
0.00500444 0.0132488 0
0.00533748 0.0145154 0
0.00567052 0.0158747 0
0.00600355 0.0172349 0
0.00633659 0.0186854 0
0.00666963 0.0201415 0
0.00700267 0.0217201 0
0.0073357 0.0233509 0
0.00766874 0.025131 0
0.00800178 0.0269314 0
0.00833481 0.0288718 0
0.00866785 0.0308184 0
0.00900089 0.0328905 0
0.00933393 0.0349393 0
0.00966696 0.0371087 0
0.01 0.0392602 0
0.0103448 0.0416218 0
0.0106897 0.0439671 0
0.0110345 0.0464941 0
0.0113793 0.0489925 0
0.0117241 0.0516667 0
0.012069 0.0542888 0
0.0123994 0.0569459 0
0.0127299 0.0595303 0
0.0130603 0.0622621 0
0.0133908 0.0649159 0
0.0137213 0.0677394 0
0.0140517 0.0704824 0
0.0143822 0.0733751 0
0.0147126 0.0761612 0
0.0150431 0.0790993 0
0.0153529 0.0817107 0
0.0156627 0.0844414 0
0.0159725 0.0870424 0
0.0162823 0.0897759 0
0.0165921 0.0923831 0
0.0169019 0.0951188 0
0.0172117 0.0976951 0
0.0175216 0.100403 0
0.0178314 0.102947 0
0.0181412 0.105609 0
0.018451 0.108096 0
0.0187608 0.110679 0
0.0190706 0.113094 0
0.0193804 0.115613 0
0.0196902 0.117962 0
0.02 0.120405 0
0.0203125 0.12267 0
0.020625 0.125033 0
0.0209375 0.127178 0
0.02125 0.129406 0
0.0215625 0.13143 0
0.021875 0.133544 0
0.0221875 0.13547 0
0.0225 0.137459 0
0.0228125 0.139227 0
0.023125 0.141078 0
0.0234375 0.142697 0
0.02375 0.14438 0
0.0240625 0.14586 0
0.024375 0.147412 0
0.0246875 0.148759 0
0.025 0.150171 0
0.0253125 0.15139 0
0.025625 0.152681 0
0.0259375 0.153772 0
0.02625 0.154939 0
0.0265625 0.155924 0
0.026875 0.156964 0
0.0271875 0.157806 0
0.0275 0.15872 0
0.0278125 0.159453 0
0.028125 0.160252 0
0.0284375 0.160889 0
0.02875 0.161596 0
0.0290625 0.162149 0
0.029375 0.162751 0
0.0296875 0.163196 0
0.03 0.16371 0
0.0303125 0.164091 0
0.030625 0.164546 0
0.0309483 0.164882 0
0.0312716 0.165301 0
0.0315948 0.165584 0
0.0319181 0.165911 0
0.0322414 0.166114 0
0.0325647 0.166384 0
0.0328879 0.166562 0
0.0332112 0.166821 0
0.0335345 0.16697 0
0.0338578 0.1672 0
0.034181 0.167321 0
0.0345043 0.167495 0
0.0348276 0.167562 0
0.0351509 0.16771 0
0.0354741 0.16778 0
0.0357974 0.167942 0
0.0361207 0.167886 0
0.036444 0.168043 0
0.0367672 0.168095 0
0.0370905 0.168239 0
0.0374138 0.168298 0
0.0377371 0.168434 0
0.0380603 0.168486 0
0.0383836 0.168626 0
0.0387069 0.168679 0
0.0390302 0.168834 0
0.0393534 0.1689 0
0.0396767 0.169046 0
0.04 0.169117 0
0.0403448 0.169297 0
0.0406897 0.169408 0
0.0410345 0.169632 0
0.0413793 0.169781 0
0.0417241 0.170037 0
0.042069 0.170199 0
0.0424138 0.170453 0
0.0427586 0.170621 0
0.0431034 0.170899 0
0.0434483 0.171099 0
0.0437931 0.171418 0
0.0441379 0.171661 0
0.0444828 0.172017 0
0.0448276 0.172291 0
0.0451724 0.172675 0
0.0455172 0.17295 0
0.0458621 0.17333 0
0.0462069 0.173611 0
0.0465517 0.173997 0
