t ke gpe 
0 0 0.124974
0.000118309 0.00138843 0.124974
0.000348116 0.00153421 0.124974
0.000623884 0.00159535 0.124974
0.000936422 0.00159902 0.124974
0.00128502 0.00164077 0.124974
0.00166393 0.00168523 0.124974
0.00208074 0.00175717 0.124974
0.0025207 0.00184401 0.124974
0.00298815 0.0019476 0.124974
0.00345561 0.00206393 0.124974
0.00395902 0.00219826 0.124974
0.00446244 0.00234637 0.124974
0.00501619 0.00251532 0.124974
0.00556995 0.00269554 0.124974
0.00612371 0.00287537 0.124973
0.00667746 0.00306375 0.124973
0.00723122 0.00324574 0.124973
0.00778498 0.00343229 0.124973
0.00833873 0.00360859 0.124973
0.00889249 0.00378738 0.124973
0.00944624 0.00395375 0.124973
0.01 0.00412131 0.124973
0.010625 0.00429473 0.124973
0.01125 0.00446806 0.124973
0.011875 0.00462249 0.124973
0.0125 0.00477557 0.124973
0.013125 0.00491151 0.124973
0.01375 0.00504433 0.124973
0.014375 0.00516258 0.124973
0.015 0.00527828 0.124973
0.015625 0.00538094 0.124973
0.01625 0.00547986 0.124973
0.016875 0.00556585 0.124973
0.0175 0.00564899 0.124973
0.018125 0.00572089 0.124973
0.01875 0.00579127 0.124972
0.019375 0.00585528 0.124972
0.02 0.0059182 0.124972
0.0206667 0.00598119 0.124972
0.0213333 0.00604327 0.124972
0.022 0.00610146 0.124972
0.0226667 0.00616348 0.124972
0.0233333 0.00623167 0.124972
0.024 0.00631196 0.124972
0.0246667 0.00639272 0.124972
0.0253333 0.00648398 0.124972
0.026 0.00656987 0.124972
0.0266667 0.00666285 0.124972
0.0273333 0.00675056 0.124972
0.028 0.00684292 0.124971
0.0285 0.00690636 0.124971
0.029 0.00697082 0.124971
0.0295 0.00703312 0.124971
0.03 0.0070988 0.124971
0.030625 0.00718179 0.124971
0.03125 0.00727503 0.124971
0.031875 0.00736334 0.124971
0.0325 0.00745606 0.124971
0.033125 0.00754301 0.124971
0.03375 0.00763525 0.124971
0.034375 0.00772432 0.124971
0.035 0.00781834 0.12497
0.035625 0.00790854 0.12497
0.03625 0.00799905 0.12497
0.036875 0.0080828 0.12497
0.0375 0.00816939 0.12497
0.038125 0.00824935 0.12497
0.03875 0.00833294 0.12497
0.039375 0.00841327 0.12497
0.04 0.00849391 0.12497
0.040625 0.00857165 0.12497
0.04125 0.0086522 0.124969
0.041875 0.00873012 0.124969
0.0425 0.00880883 0.124969
0.043125 0.00888621 0.124969
0.04375 0.00896167 0.124969
0.044375 0.00903302 0.124969
0.045 0.00910375 0.124969
0.045625 0.00917394 0.124969
0.04625 0.00924559 0.124969
0.046875 0.00931516 0.124968
0.0475 0.00938331 0.124968
0.048125 0.00944796 0.124968
0.04875 0.0095092 0.124968
0.049375 0.00957007 0.124968
0.05 0.00963152 0.124968
0.050625 0.00969415 0.124968
0.05125 0.00975687 0.124968
0.051875 0.00982076 0.124967
0.0525 0.00988064 0.124967
0.053125 0.00993611 0.124967
0.05375 0.00998871 0.124967
0.054375 0.0100394 0.124967
0.055 0.0100945 0.124967
0.055625 0.010151 0.124967
0.05625 0.0102082 0.124966
0.056875 0.0102601 0.124966
0.0575 0.0103064 0.124966
0.058125 0.0103491 0.124966
0.05875 0.010397 0.124966
0.059375 0.0104511 0.124966
0.06 0.0105061 0.124966
0.060625 0.0105614 0.124965
0.06125 0.0106111 0.124965
0.061875 0.0106532 0.124965
0.0625 0.0106908 0.124965
0.063125 0.0107324 0.124965
0.06375 0.0107811 0.124965
0.064375 0.010837 0.124964
0.065 0.0108933 0.124964
0.065625 0.0109513 0.124964
0.06625 0.0109977 0.124964
0.066875 0.0110395 0.124964
0.0675 0.0110782 0.124964
0.068125 0.0111241 0.124963
0.06875 0.0111842 0.124963
0.069375 0.0112537 0.124963
0.07 0.0113173 0.124963
0.070625 0.0113783 0.124963
0.07125 0.0114245 0.124962
0.071875 0.0114687 0.124962
0.0725 0.0115134 0.124962
0.073125 0.0115699 0.124962
0.07375 0.0116386 0.124962
0.074375 0.0117116 0.124962
0.075 0.0117702 0.124961
0.075625 0.0118236 0.124961
0.07625 0.0118639 0.124961
0.076875 0.0119054 0.124961
0.0775 0.011948 0.12496
0.078125 0.0119963 0.12496
0.07875 0.0120645 0.12496
0.079375 0.0121353 0.12496
0.08 0.012192 0.12496
0.080625 0.0122472 0.124959
0.08125 0.0122888 0.124959
0.081875 0.0123353 0.124959
0.0825 0.0123815 0.124959
0.083125 0.012429 0.124958
0.08375 0.0124706 0.124958
0.084375 0.0125378 0.124958
0.085 0.0125945 0.124958
0.085625 0.0126523 0.124958
0.08625 0.0126963 0.124957
0.086875 0.0127463 0.124957
0.0875 0.0128006 0.124957
0.088125 0.0128628 0.124957
0.08875 0.0129133 0.124956
0.089375 0.0129649 0.124956
0.09 0.0130045 0.124956
0.090625 0.0130678 0.124956
0.09125 0.0131198 0.124955
0.091875 0.0131731 0.124955
0.0925 0.0132268 0.124955
0.093125 0.0132985 0.124954
0.09375 0.0133613 0.124954
0.094375 0.0134276 0.124954
0.095 0.0134817 0.124954
0.095625 0.0135301 0.124953
0.09625 0.0135679 0.124953
0.096875 0.0136133 0.124953
0.0975 0.0136626 0.124952
0.098125 0.013716 0.124952
0.09875 0.0137726 0.124952
0.099375 0.0138511 0.124952
0.1 0.0139125 0.124951
0.100625 0.013978 0.124951
0.10125 0.0140309 0.124951
0.101875 0.0140834 0.12495
0.1025 0.0141254 0.12495
0.103125 0.0141729 0.12495
0.10375 0.0142227 0.124949
0.104375 0.0142824 0.124949
0.105 0.0143304 0.124949
0.105625 0.0144069 0.124948
0.10625 0.0144734 0.124948
0.106875 0.0145432 0.124948
0.1075 0.0145957 0.124947
0.108125 0.0146483 0.124947
0.10875 0.0146905 0.124947
0.109375 0.0147506 0.124946
