t ke gpe 
0 5.14782e-37 -1.24974
0.000118309 0.000222764 -1.24974
0.000348116 0.000242093 -1.24974
0.000623884 0.000270507 -1.24974
0.000936422 0.00029037 -1.24974
0.00128502 0.000318102 -1.24974
0.00166393 0.000349088 -1.24974
0.00208074 0.000387506 -1.24974
0.0025207 0.000430753 -1.24974
0.00298815 0.000480641 -1.24974
0.00345561 0.000534449 -1.24974
0.00395902 0.000596753 -1.24974
0.00446244 0.000664154 -1.24974
0.00501619 0.000743046 -1.24974
0.00556995 0.000827982 -1.24974
0.00612371 0.000916576 -1.24973
0.00667746 0.0010114 -1.24973
0.00723122 0.00110856 -1.24973
0.00778498 0.0012119 -1.24973
0.00833873 0.00131661 -1.24973
0.00889249 0.00142742 -1.24973
0.00944624 0.00153837 -1.24973
0.01 0.00165484 -1.24973
0.010625 0.00178462 -1.24973
0.01125 0.00192029 -1.24973
0.011875 0.00205203 -1.24973
0.0125 0.00218867 -1.24973
0.013125 0.0023198 -1.24973
0.01375 0.00245355 -1.24973
0.014375 0.00257962 -1.24973
0.015 0.00270652 -1.24973
0.015625 0.00282593 -1.24973
0.01625 0.0029448 -1.24973
0.016875 0.00305676 -1.24973
0.0175 0.00316941 -1.24973
0.018125 0.00327409 -1.24973
0.01875 0.00337847 -1.24972
0.019375 0.00347582 -1.24972
0.02 0.0035727 -1.24972
0.0206667 0.00366931 -1.24972
0.0213333 0.00376624 -1.24972
0.022 0.00385716 -1.24972
0.0226667 0.00394698 -1.24972
0.0233333 0.00402696 -1.24972
0.024 0.00410383 -1.24972
0.0246667 0.00417619 -1.24972
0.0253333 0.00424809 -1.24972
0.026 0.00431997 -1.24972
0.0266667 0.00439399 -1.24972
0.0273333 0.00446781 -1.24972
0.028 0.00454767 -1.24971
0.0285 0.00460936 -1.24971
0.029 0.00467495 -1.24971
0.0295 0.00474039 -1.24971
0.03 0.00480883 -1.24971
0.030625 0.00489112 -1.24971
0.03125 0.00497602 -1.24971
0.031875 0.00506304 -1.24971
0.0325 0.00515745 -1.24971
0.033125 0.0052534 -1.24971
0.03375 0.00535534 -1.24971
0.034375 0.00545777 -1.24971
0.035 0.00556586 -1.2497
0.035625 0.00567686 -1.2497
0.03625 0.00579695 -1.2497
0.036875 0.00591925 -1.2497
0.0375 0.00604833 -1.2497
0.038125 0.00617932 -1.2497
0.03875 0.00631627 -1.2497
0.039375 0.00645519 -1.2497
0.04 0.00660178 -1.2497
0.040625 0.00674905 -1.2497
0.04125 0.00690283 -1.24969
0.041875 0.00705659 -1.24969
0.0425 0.00721698 -1.24969
0.043125 0.00737909 -1.24969
0.04375 0.00754854 -1.24969
0.044375 0.00771893 -1.24969
0.045 0.00789353 -1.24969
0.045625 0.00806569 -1.24969
0.04625 0.0082406 -1.24969
0.046875 0.00841402 -1.24968
0.0475 0.00859389 -1.24968
0.048125 0.00877434 -1.24968
0.04875 0.00896103 -1.24968
0.049375 0.00914497 -1.24968
0.05 0.00933224 -1.24968
0.050625 0.00951572 -1.24968
0.05125 0.00970305 -1.24968
0.051875 0.00988895 -1.24967
0.0525 0.0100821 -1.24967
0.053125 0.0102753 -1.24967
0.05375 0.010474 -1.24967
0.054375 0.0106679 -1.24967
0.055 0.0108645 -1.24967
0.055625 0.0110553 -1.24967
0.05625 0.0112513 -1.24966
0.056875 0.0114465 -1.24966
0.0575 0.0116509 -1.24966
0.058125 0.01185 -1.24966
0.05875 0.0120509 -1.24966
0.059375 0.0122421 -1.24966
0.06 0.0124387 -1.24966
0.060625 0.0126308 -1.24965
0.06125 0.0128338 -1.24965
0.061875 0.0130377 -1.24965
0.0625 0.0132513 -1.24965
0.063125 0.0134573 -1.24965
0.06375 0.0136605 -1.24965
0.064375 0.013854 -1.24964
0.065 0.0140546 -1.24964
0.065625 0.0142505 -1.24964
0.06625 0.0144626 -1.24964
0.066875 0.0146742 -1.24964
0.0675 0.0148927 -1.24964
0.068125 0.0151006 -1.24963
0.06875 0.0153036 -1.24963
0.069375 0.0154976 -1.24963
0.07 0.0157045 -1.24963
0.070625 0.015912 -1.24963
0.07125 0.0161366 -1.24962
0.071875 0.016361 -1.24962
0.0725 0.0165856 -1.24962
0.073125 0.0167958 -1.24962
0.07375 0.0169994 -1.24962
0.074375 0.0171966 -1.24962
0.075 0.0174133 -1.24961
0.075625 0.0176333 -1.24961
0.07625 0.0178673 -1.24961
0.076875 0.0180983 -1.24961
0.0775 0.0183322 -1.2496
0.078125 0.0185533 -1.2496
0.07875 0.0187599 -1.2496
0.079375 0.0189623 -1.2496
0.08 0.0191852 -1.2496
0.080625 0.0194097 -1.24959
0.08125 0.0196487 -1.24959
0.081875 0.0198821 -1.24959
0.0825 0.0201194 -1.24959
0.083125 0.0203557 -1.24958
0.08375 0.0205985 -1.24958
0.084375 0.020814 -1.24958
0.085 0.0210374 -1.24958
0.085625 0.0212592 -1.24958
0.08625 0.0214964 -1.24957
0.086875 0.0217279 -1.24957
0.0875 0.0219591 -1.24957
0.088125 0.0221838 -1.24957
0.08875 0.022426 -1.24956
0.089375 0.0226701 -1.24956
0.09 0.02292 -1.24956
0.090625 0.0231459 -1.24956
0.09125 0.0233878 -1.24955
0.091875 0.0236238 -1.24955
0.0925 0.0238636 -1.24955
0.093125 0.0240838 -1.24954
0.09375 0.0243175 -1.24954
0.094375 0.0245491 -1.24954
0.095 0.0247967 -1.24954
0.095625 0.0250497 -1.24953
0.09625 0.0253182 -1.24953
0.096875 0.0255791 -1.24953
0.0975 0.0258401 -1.24952
0.098125 0.0260953 -1.24952
0.09875 0.0263506 -1.24952
0.099375 0.0265863 -1.24952
0.1 0.0268446 -1.24951
0.100625 0.0270989 -1.24951
0.10125 0.0273703 -1.24951
0.101875 0.0276462 -1.2495
0.1025 0.0279384 -1.2495
0.103125 0.0282255 -1.2495
0.10375 0.0285155 -1.24949
0.104375 0.0288004 -1.24949
0.105 0.0290957 -1.24949
0.105625 0.0293647 -1.24948
0.10625 0.0296502 -1.24948
0.106875 0.0299301 -1.24948
0.1075 0.0302315 -1.24947
0.108125 0.0305374 -1.24947
0.10875 0.0308547 -1.24947
0.109375 0.0311591 -1.24946
0.11 0.0314684 -1.24946
0.110625 0.0317752 -1.24946
0.11125 0.0321051 -1.24945
0.111875 0.0324448 -1.24945
0.1125 0.0327705 -1.24945
0.113125 0.0330778 -1.24944
0.11375 0.0334039 -1.24944
0.114375 0.0337291 -1.24944
0.115 0.0340676 -1.24943
0.115625 0.034394 -1.24943
0.11625 0.0347314 -1.24942
0.116875 0.035069 -1.24942
0.1175 0.0354274 -1.24942
0.118125 0.0357921 -1.24941
0.11875 0.036163 -1.24941
0.119375 0.0365375 -1.24941
0.12 0.0368981 -1.2494
0.120625 0.0372526 -1.2494
0.12125 0.0376162 -1.24939
0.121875 0.0379744 -1.24939
0.1225 0.0383478 -1.24939
0.123125 0.0387196 -1.24938
0.12375 0.0391154 -1.24938
0.124375 0.0395159 -1.24937
0.125 0.0399261 -1.24937
0.125625 0.0403368 -1.24936
0.12625 0.0407581 -1.24936
0.126875 0.0411594 -1.24936
0.1275 0.0415657 -1.24935
0.128125 0.0419623 -1.24935
0.12875 0.0423699 -1.24934
0.129375 0.0427671 -1.24934
0.13 0.043179 -1.24933
0.130625 0.0435923 -1.24933
0.13125 0.0440139 -1.24932
0.131875 0.0444416 -1.24932
0.1325 0.0448721 -1.24931
0.133125 0.0452969 -1.24931
0.13375 0.0457018 -1.2493
0.134375 0.0460935 -1.2493
0.135 0.0464938 -1.2493
0.135625 0.0469023 -1.24929
0.13625 0.0473126 -1.24929
0.136875 0.0477319 -1.24928
0.1375 0.0481605 -1.24928
0.138125 0.0486035 -1.24927
0.13875 0.0490598 -1.24927
0.139375 0.049519 -1.24926
0.14 0.0499711 -1.24925
0.140625 0.0503992 -1.24925
0.14125 0.0508166 -1.24924
0.141875 0.05123 -1.24924
0.1425 0.0516672 -1.24923
0.143125 0.0521214 -1.24923
0.14375 0.0525992 -1.24922
0.144375 0.0530925 -1.24922
0.145 0.0535942 -1.24921
0.145625 0.0541007 -1.24921
0.14625 0.0546152 -1.2492
0.146875 0.0551374 -1.24919
0.1475 0.0556691 -1.24919
0.148125 0.0561884 -1.24918
0.14875 0.0567174 -1.24918
0.149375 0.0572281 -1.24917
0.15 0.0577399 -1.24917
0.150625 0.0582655 -1.24916
0.15125 0.058823 -1.24915
0.151875 0.0594059 -1.24915
0.1525 0.0600108 -1.24914
0.153125 0.0606204 -1.24914
0.15375 0.0612375 -1.24913
0.154375 0.0618552 -1.24912
0.155 0.0624737 -1.24912
0.155625 0.0630788 -1.24911
0.15625 0.0636927 -1.2491
0.156875 0.0643147 -1.2491
0.1575 0.0649447 -1.24909
0.158125 0.0655783 -1.24908
0.15875 0.0662455 -1.24908
0.159375 0.0668847 -1.24907
0.16 0.0675391 -1.24906
0.160625 0.0681977 -1.24906
0.16125 0.0688667 -1.24905
0.161875 0.0695152 -1.24904
0.1625 0.0701667 -1.24904
0.163125 0.0708422 -1.24903
0.16375 0.0715204 -1.24902
0.164375 0.0721963 -1.24902
0.165 0.072881 -1.24901
0.165625 0.0735456 -1.249
0.16625 0.0742066 -1.24899
0.166786 0.0747879 -1.24899
0.167321 0.0753871 -1.24898
0.167857 0.0759827 -1.24897
0.168393 0.0765619 -1.24897
0.168929 0.0771436 -1.24896
0.169464 0.0777421 -1.24896
0.17 0.0783388 -1.24895
0.170588 0.0789943 -1.24894
0.171176 0.0796466 -1.24893
0.171765 0.0803213 -1.24893
0.172353 0.0810019 -1.24892
0.172941 0.0816754 -1.24891
0.173529 0.0823416 -1.2489
0.174118 0.0830308 -1.2489
0.174706 0.0837317 -1.24889
0.175294 0.0844367 -1.24888
0.175882 0.0851399 -1.24887
0.176471 0.0858673 -1.24887
0.177059 0.0865954 -1.24886
0.177647 0.0873024 -1.24885
0.178235 0.0879995 -1.24884
0.178824 0.088718 -1.24883
0.179412 0.0894362 -1.24883
0.18 0.0901609 -1.24882
0.180588 0.0909016 -1.24881
0.181176 0.09167 -1.2488
0.181765 0.0924224 -1.24879
0.182353 0.0931309 -1.24879
0.182941 0.0938123 -1.24878
0.183529 0.0944859 -1.24877
0.184118 0.0951463 -1.24876
0.184706 0.0958154 -1.24875
0.185294 0.0965017 -1.24874
0.185882 0.0972142 -1.24873
0.186471 0.097935 -1.24872
0.187059 0.0986348 -1.24872
0.187647 0.0993297 -1.24871
0.188235 0.0999934 -1.2487
0.188824 0.100648 -1.24869
0.189412 0.101318 -1.24868
0.19 0.101999 -1.24867
0.190588 0.102709 -1.24866
0.191176 0.103404 -1.24865
0.191765 0.10411 -1.24864
0.192353 0.104823 -1.24863
0.192941 0.10555 -1.24862
0.193529 0.106253 -1.24861
0.194118 0.106952 -1.2486
0.194706 0.107654 -1.24859
0.195294 0.108362 -1.24858
0.195882 0.109069 -1.24857
0.196471 0.109796 -1.24856
0.197059 0.110529 -1.24855
0.197647 0.111288 -1.24854
0.198235 0.112047 -1.24853
0.198824 0.112809 -1.24852
0.199412 0.11357 -1.24851
0.2 0.114355 -1.2485
0.200588 0.115114 -1.24849
0.201176 0.115896 -1.24848
0.201765 0.116679 -1.24847
0.202353 0.117478 -1.24846
0.202941 0.118271 -1.24845
0.203529 0.119062 -1.24843
0.204118 0.119835 -1.24842
0.204706 0.12063 -1.24841
0.205294 0.121443 -1.2484
0.205882 0.12228 -1.24839
0.206471 0.123109 -1.24838
0.207059 0.123923 -1.24837
0.207647 0.124718 -1.24836
0.208235 0.125505 -1.24834
0.208824 0.126271 -1.24833
0.209412 0.127024 -1.24832
0.21 0.127747 -1.24831
0.210588 0.128505 -1.2483
0.211176 0.129288 -1.24828
0.211765 0.1301 -1.24827
0.212353 0.130885 -1.24826
0.212941 0.131674 -1.24825
0.213529 0.132465 -1.24823
0.214118 0.133272 -1.24822
0.214706 0.134051 -1.24821
0.215294 0.134834 -1.2482
0.215882 0.135614 -1.24818
0.216471 0.136408 -1.24817
0.217059 0.137212 -1.24816
0.217647 0.138002 -1.24814
0.218118 0.138631 -1.24813
0.218588 0.139274 -1.24812
0.219059 0.139913 -1.24811
0.219529 0.14056 -1.2481
0.22 0.141209 -1.24809
0.220556 0.142004 -1.24808
0.221111 0.142823 -1.24806
0.221667 0.143687 -1.24805
0.222222 0.144574 -1.24804
0.222778 0.145414 -1.24802
