t ke gpe 
0 3.56022e-37 -1.24974
0.000293666 7.54607e-06 -1.24974
0.00104031 8.33665e-06 -1.24974
0.00203583 9.69806e-06 -1.24974
0.00317357 1.08695e-05 -1.24974
0.00453885 1.28816e-05 -1.24974
0.00590414 1.50949e-05 -1.24974
0.00726943 1.76416e-05 -1.24974
0.00863471 2.03644e-05 -1.24974
0.01 2.32562e-05 -1.24974
0.012 2.76101e-05 -1.24974
0.014 3.21685e-05 -1.24974
0.016 3.68164e-05 -1.24974
0.018 4.15313e-05 -1.24974
0.02 4.62433e-05 -1.24974
0.0225 5.20359e-05 -1.24974
0.025 5.77382e-05 -1.24974
0.0275 6.33237e-05 -1.24974
0.03 6.87676e-05 -1.24974
0.0325 7.40627e-05 -1.24974
0.035 7.91826e-05 -1.24974
0.0375 8.41322e-05 -1.24974
0.04 8.89034e-05 -1.24974
0.0425 9.35171e-05 -1.24974
0.045 9.79844e-05 -1.24974
0.0475 0.00010234 -1.24974
0.05 0.0001066 -1.24974
0.0525 0.000110807 -1.24974
0.055 0.00011497 -1.24974
0.0575 0.000119143 -1.24974
0.06 0.000123332 -1.24974
0.0625 0.000127579 -1.24974
0.065 0.000131889 -1.24974
0.0675 0.000136292 -1.24974
0.07 0.000140784 -1.24974
0.0725 0.000145382 -1.24974
0.075 0.000150078 -1.24975
0.0775 0.000154886 -1.24975
0.08 0.000159794 -1.24975
0.0825 0.000164805 -1.24975
0.085 0.000169911 -1.24975
0.0875 0.000175105 -1.24975
0.09 0.000180375 -1.24975
0.0925 0.000185693 -1.24975
0.095 0.000191102 -1.24975
0.0975 0.000196617 -1.24975
0.1 0.000202232 -1.24975
0.1025 0.000207946 -1.24975
0.105 0.000213747 -1.24975
0.1075 0.000219637 -1.24975
0.11 0.000225613 -1.24975
0.1125 0.000231674 -1.24976
0.115 0.000237811 -1.24976
0.1175 0.000244016 -1.24976
0.12 0.000250289 -1.24976
0.1225 0.000256634 -1.24976
0.125 0.000263049 -1.24976
0.1275 0.000269542 -1.24976
0.13 0.000276093 -1.24976
0.1325 0.000282727 -1.24976
0.135 0.000289443 -1.24976
0.1375 0.000296241 -1.24976
0.14 0.000303123 -1.24976
0.1425 0.000310081 -1.24977
0.145 0.000317103 -1.24977
0.1475 0.00032426 -1.24977
0.15 0.000331501 -1.24977
0.1525 0.000338815 -1.24977
0.155 0.000346245 -1.24977
0.1575 0.000353793 -1.24977
0.16 0.000361452 -1.24977
0.1625 0.000369215 -1.24977
0.165 0.000377109 -1.24977
0.1675 0.000385118 -1.24978
0.17 0.000393254 -1.24978
0.1725 0.000401485 -1.24978
0.175 0.000409815 -1.24978
0.1775 0.000418259 -1.24978
0.18 0.000426817 -1.24978
0.1825 0.000435453 -1.24978
0.185 0.000444173 -1.24978
0.1875 0.000452957 -1.24978
0.19 0.000461798 -1.24979
0.1925 0.000470693 -1.24979
0.195 0.000479615 -1.24979
0.1975 0.000488564 -1.24979
0.2 0.000497552 -1.24979
