t ke gpe 
0 0 12.4981
0.000262663 1.4229e-08 12.4981
0.000958187 2.2854e-08 12.4981
0.00186237 9.42548e-08 12.498
0.00287957 2.18812e-07 12.498
0.00406631 4.32741e-07 12.498
0.00525305 7.18439e-07 12.498
0.00643979 1.07947e-06 12.498
0.00762652 1.51154e-06 12.498
0.00881326 2.02721e-06 12.498
0.01 2.6088e-06 12.498
0.0116667 3.53668e-06 12.498
0.0133333 4.63055e-06 12.4975
0.015 5.87861e-06 12.4975
0.0166667 7.1851e-06 12.4975
0.0183333 9.0161e-06 12.4975
0.02 1.06848e-05 12.4975
0.022 1.29246e-05 12.4975
0.024 1.53858e-05 12.4978
0.026 1.8243e-05 12.4978
0.028 2.09205e-05 12.4982
0.03 2.40926e-05 12.4982
0.0325 2.82363e-05 12.4982
0.035 3.27149e-05 12.4983
0.0375 3.74638e-05 12.4983
0.04 4.23317e-05 12.4983
0.0425 4.76895e-05 12.4983
0.045 5.32449e-05 12.4984
0.0475 5.91174e-05 12.4984
0.05 6.52318e-05 12.4985
0.0525 7.15496e-05 12.4986
0.055 7.82288e-05 12.4986
0.0575 8.49858e-05 12.4986
0.06 9.20817e-05 12.4986
0.0625 9.93341e-05 12.4986
0.065 0.00010714 12.4987
0.0675 0.000114926 12.4987
0.07 0.000122148 12.4988
0.0725 0.0001302 12.4989
0.075 0.000138725 12.4989
0.0775 0.000146824 12.4989
0.08 0.000155766 12.4989
0.0825 0.000163898 12.4989
0.085 0.000173903 12.499
0.0875 0.000183139 12.4989
0.09 0.000191231 12.499
0.0925 0.000199775 12.4989
0.095 0.000209259 12.4989
0.0975 0.000217777 12.499
0.1 0.000228278 12.499
0.1025 0.000235904 12.499
0.105 0.000245588 12.499
0.1075 0.000255538 12.499
0.11 0.000264361 12.4991
0.1125 0.000275262 12.4991
0.115 0.000283754 12.4991
0.1175 0.000294253 12.4991
0.12 0.000301627 12.4992
0.1225 0.000311237 12.4992
0.125 0.000320834 12.4992
0.1275 0.000329672 12.4992
0.13 0.000337683 12.4992
0.1325 0.000347436 12.4993
0.135 0.000355558 12.4993
0.1375 0.000366048 12.4993
0.14 0.000374101 12.4993
0.1425 0.000380402 12.4994
0.145 0.000390553 12.4994
0.1475 0.000397072 12.4994
0.15 0.000404364 12.4994
0.1525 0.000412802 12.4994
0.155 0.000420237 12.4994
0.1575 0.000426726 12.4995
0.16 0.000434047 12.4995
0.1625 0.000440509 12.4995
0.165 0.000447239 12.4995
0.1675 0.000453302 12.4995
0.17 0.000459605 12.4996
0.1725 0.000465145 12.4996
0.175 0.000471256 12.4996
0.1775 0.000476652 12.4996
0.18 0.000482575 12.4997
0.1825 0.000486656 12.4997
