t ke gpe 
0 0 12.4988
0.000114766 1.00985e-10 12.4981
0.000423679 1.43819e-10 12.4981
0.000822693 5.11211e-10 12.4981
0.00128156 1.22391e-09 12.4981
0.00182646 2.44808e-09 12.4981
0.00241028 4.24759e-09 12.4981
0.00304276 6.75154e-09 12.4981
0.00373849 1.01682e-08 12.4981
0.00443421 1.42379e-08 12.4979
0.00522932 1.97639e-08 12.4979
0.00602443 2.61829e-08 12.4979
0.00681955 3.3518e-08 12.4979
0.00761466 4.17651e-08 12.4979
0.00840977 5.09148e-08 12.4979
0.00920489 6.09657e-08 12.4979
0.01 7.19181e-08 12.4979
0.011 8.69306e-08 12.4979
0.012 1.03392e-07 12.4979
0.013 1.21264e-07 12.4979
0.014 1.40563e-07 12.4979
0.015 1.61288e-07 12.4979
0.016 1.83436e-07 12.4979
0.017 2.06763e-07 12.4977
0.018 2.31843e-07 12.4977
0.019 2.58174e-07 12.4977
0.02 2.86011e-07 12.4977
0.0211111 3.1858e-07 12.4977
0.0222222 3.5291e-07 12.4977
0.0233333 3.88951e-07 12.4977
0.0244444 4.26734e-07 12.4977
0.0255556 4.66259e-07 12.4977
0.0266667 5.07514e-07 12.4977
0.0277778 5.50497e-07 12.4977
0.0288889 5.95206e-07 12.4977
0.03 6.41639e-07 12.4977
0.0311111 6.89797e-07 12.4977
0.0322222 7.39678e-07 12.4977
0.0333333 7.91281e-07 12.4977
0.0344444 8.45166e-07 12.4979
0.0355556 8.99698e-07 12.4979
0.0366667 9.57429e-07 12.4979
0.0377778 1.01674e-06 12.4979
0.0388889 1.07717e-06 12.4979
0.04 1.13923e-06 12.4979
0.0411111 1.20307e-06 12.4979
0.0422222 1.26865e-06 12.4979
0.0433333 1.33591e-06 12.4979
0.0444444 1.40484e-06 12.4979
0.0455556 1.47545e-06 12.4979
0.0466667 1.54773e-06 12.4979
0.0477778 1.62051e-06 12.4977
0.0488889 1.69678e-06 12.4977
0.05 1.77369e-06 12.4977
0.05125 1.86252e-06 12.4977
0.0525 1.95382e-06 12.4977
0.05375 2.04703e-06 12.4977
0.055 2.14227e-06 12.4978
0.05625 2.23959e-06 12.4978
0.0575 2.339e-06 12.4978
0.05875 2.44046e-06 12.4978
0.06 2.54398e-06 12.4978
0.06125 2.64956e-06 12.4978
0.0625 2.75909e-06 12.4979
0.06375 2.8677e-06 12.4979
0.065 2.98164e-06 12.4979
0.06625 3.09718e-06 12.4979
0.0675 3.21346e-06 12.4979
0.06875 3.33161e-06 12.4979
0.07 3.45195e-06 12.4979
0.07125 3.57439e-06 12.4979
0.0725 3.69897e-06 12.4979
0.07375 3.82503e-06 12.4979
0.075 3.9536e-06 12.4979
0.07625 4.08095e-06 12.4978
0.0775 4.21478e-06 12.4978
0.07875 4.34815e-06 12.4978
0.08 4.48459e-06 12.4978
0.08125 4.62332e-06 12.4978
0.0825 4.76376e-06 12.4978
0.08375 4.90595e-06 12.4978
0.085 5.05e-06 12.4978
0.08625 5.19594e-06 12.4978
0.0875 5.34375e-06 12.4978
0.08875 5.49729e-06 12.4979
0.09 5.64721e-06 12.4979
0.09125 5.80393e-06 12.498
0.0925 5.9637e-06 12.4979
0.09375 6.12292e-06 12.4979
0.095 6.2823e-06 12.4979
0.09625 6.442e-06 12.498
0.0975 6.60461e-06 12.498
0.09875 6.7703e-06 12.498
0.1 6.93303e-06 12.4979
0.10125 7.10158e-06 12.4979
0.1025 7.27174e-06 12.4978
0.10375 7.44592e-06 12.4978
0.105 7.6193e-06 12.4978
0.10625 8.06319e-06 12.4978
0.1075 8.16643e-06 12.4978
0.10875 8.30353e-06 12.4978
0.11 8.48646e-06 12.4978
0.11125 8.67507e-06 12.4978
0.1125 8.86943e-06 12.4979
0.11375 9.05681e-06 12.4979
0.115 9.25964e-06 12.498
0.11625 9.45765e-06 12.498
0.1175 9.65001e-06 12.498
0.11875 9.85057e-06 12.498
0.12 1.00527e-05 12.498
0.12125 1.02555e-05 12.498
0.1225 1.04539e-05 12.4979
0.12375 1.06938e-05 12.4979
0.125 1.0904e-05 12.4979
0.12625 1.11206e-05 12.4979
0.1275 1.1332e-05 12.4979
0.12875 1.15419e-05 12.4979
0.13 1.1757e-05 12.4979
0.13125 1.19806e-05 12.498
0.1325 1.21951e-05 12.498
0.13375 1.24149e-05 12.498
0.135 1.26383e-05 12.498
0.13625 1.28599e-05 12.498
0.1375 1.30845e-05 12.498
0.13875 1.33131e-05 12.498
0.14 1.35307e-05 12.498
0.14125 1.37592e-05 12.498
0.1425 1.3992e-05 12.498
0.14375 1.42389e-05 12.4979
0.145 1.44749e-05 12.4979
0.14625 1.47084e-05 12.4979
0.1475 1.4945e-05 12.4979
0.14875 1.51837e-05 12.4979
0.15 1.54316e-05 12.498
0.15125 1.56679e-05 12.498
0.1525 1.59141e-05 12.498
0.15375 1.61539e-05 12.4981
0.155 1.64013e-05 12.4981
0.15625 1.66452e-05 12.4981
0.1575 1.68881e-05 12.498
0.15875 1.71419e-05 12.498
0.16 1.73955e-05 12.498
0.16125 1.76504e-05 12.4979
0.1625 1.79009e-05 12.498
0.16375 1.81529e-05 12.498
0.165 1.84099e-05 12.498
0.16625 1.86667e-05 12.498
0.1675 1.89242e-05 12.498
0.16875 1.91834e-05 12.498
0.17 1.94447e-05 12.498
0.17125 1.97234e-05 12.498
0.1725 1.99702e-05 12.498
0.17375 2.02379e-05 12.498
0.175 2.05049e-05 12.498
0.17625 2.07876e-05 12.498
0.1775 2.10439e-05 12.498
0.17875 2.13122e-05 12.498
0.18 2.15808e-05 12.498
0.18125 2.18435e-05 12.498
0.1825 2.21092e-05 12.498
0.18375 2.23799e-05 12.498
0.185 2.2639e-05 12.498
0.18625 2.29127e-05 12.498
0.1875 2.31944e-05 12.498
0.18875 2.34657e-05 12.4981
0.19 2.37547e-05 12.498
0.19125 2.40339e-05 12.498
0.1925 2.43124e-05 12.498
0.19375 2.46036e-05 12.4981
0.195 2.48843e-05 12.4981
0.19625 2.51912e-05 12.4981
0.1975 2.54921e-05 12.4981
0.19875 2.57711e-05 12.4981
0.2 2.60609e-05 12.4981
0.20125 2.63455e-05 12.4981
0.2025 2.66264e-05 12.4981
0.20375 2.69273e-05 12.4981
0.205 2.72251e-05 12.4981
0.20625 2.75316e-05 12.4981
0.2075 2.78239e-05 12.4981
0.20875 2.81006e-05 12.4981
0.21 2.8395e-05 12.4981
0.21125 2.86895e-05 12.4981
0.2125 2.89673e-05 12.4981
0.21375 2.92501e-05 12.4981
0.215 2.95457e-05 12.4981
0.21625 2.98403e-05 12.4981
0.2175 3.01363e-05 12.4981
0.21875 3.04415e-05 12.4981
0.22 3.07421e-05 12.4981
0.22125 3.10384e-05 12.4981
0.2225 3.13373e-05 12.4981
0.22375 3.16475e-05 12.4981
0.225 3.19519e-05 12.4981
0.22625 3.22461e-05 12.4981
0.2275 3.25501e-05 12.4981
0.22875 3.28539e-05 12.4981
0.23 3.31648e-05 12.4982
0.23125 3.34531e-05 12.4982
0.2325 3.37586e-05 12.4982
0.23375 3.40508e-05 12.4982
0.235 3.4362e-05 12.4982
0.23625 3.46588e-05 12.4982
0.2375 3.49623e-05 12.4982
0.23875 3.52581e-05 12.4983
0.24 3.55678e-05 12.4983
0.24125 3.58714e-05 12.4983
0.2425 3.61847e-05 12.4982
0.24375 3.65105e-05 12.4982
0.245 3.68042e-05 12.4982
0.24625 3.71267e-05 12.4982
0.2475 3.74508e-05 12.4983
0.24875 3.77666e-05 12.4983
0.25 3.80593e-05 12.4983
0.25125 3.83679e-05 12.4983
0.2525 3.86778e-05 12.4983
0.25375 3.89771e-05 12.4983
0.255 3.92865e-05 12.4983
0.25625 3.95718e-05 12.4982
0.2575 3.98736e-05 12.4982
0.25875 4.01925e-05 12.4979
0.26 4.05643e-05 12.4979
0.26125 4.08783e-05 12.4979
0.2625 4.11883e-05 12.4979
0.26375 4.15051e-05 12.4978
0.265 4.18197e-05 12.4978
0.26625 4.21287e-05 12.4976
0.2675 4.24416e-05 12.4976
0.26875 4.27321e-05 12.4976
0.27 4.3056e-05 12.4976
0.27125 4.33675e-05 12.4976
0.2725 4.36637e-05 12.4976
0.27375 4.39555e-05 12.4976
0.275 4.42612e-05 12.4976
0.27625 4.45836e-05 12.4977
0.2775 4.4858e-05 12.4977
0.27875 4.51754e-05 12.4977
0.28 4.54792e-05 12.4977
0.28125 4.57733e-05 12.4977
0.2825 4.60776e-05 12.4979
0.28375 4.63649e-05 12.4982
0.285 4.66967e-05 12.4984
0.28625 4.70224e-05 12.4984
0.2875 4.73346e-05 12.4984
0.28875 4.76412e-05 12.4984
0.29 4.79341e-05 12.4984
0.29125 4.82427e-05 12.4984
0.2925 4.85522e-05 12.4984
0.29375 4.88531e-05 12.4984
