t ke gpe 
0 0 24.9983
0.000185731 4.94138e-10 24.9983
0.000676444 2.31603e-09 24.9983
0.00129801 2.82485e-09 24.9983
0.00202318 6.83376e-09 24.9983
0.00290949 1.38526e-08 24.9983
0.00379581 2.31073e-08 24.9983
0.00482984 3.73495e-08 24.9983
0.00586387 5.49692e-08 24.9983
0.0068979 7.59705e-08 24.9983
0.00793194 1.00301e-07 24.9983
0.00896597 1.28015e-07 24.9983
0.01 1.59101e-07 24.9983
0.0114286 2.07518e-07 24.9983
0.0128571 2.62369e-07 24.9983
0.0142857 3.23544e-07 24.9983
0.0157143 3.91109e-07 24.9983
0.0171429 4.65034e-07 24.9983
0.0185714 5.453e-07 24.9983
0.02 6.31882e-07 24.9983
0.0216667 7.40794e-07 24.9983
0.0233333 8.58305e-07 24.9983
0.025 9.84286e-07 24.9983
0.0266667 1.1188e-06 24.9983
0.0283333 1.26174e-06 24.9983
0.03 1.41345e-06 24.9983
0.0316667 1.57327e-06 24.9983
0.0333333 1.73949e-06 24.9983
0.035 1.93587e-06 24.9983
0.0366667 2.12042e-06 24.9983
0.0383333 2.31321e-06 24.9983
0.04 2.51822e-06 24.9983
0.0416667 2.72559e-06 24.9983
0.0433333 2.94802e-06 24.9983
0.045 3.1774e-06 24.9983
0.0466667 3.41232e-06 24.9983
0.0483333 3.65567e-06 24.9983
0.05 3.91089e-06 24.9983
0.0516667 4.16999e-06 24.9983
0.0533333 4.44002e-06 24.9983
0.055 4.71631e-06 24.9983
0.0566667 4.99211e-06 24.9982
0.0583333 5.29943e-06 24.9982
0.06 5.58798e-06 24.9982
0.062 5.96549e-06 24.9982
0.064 6.35176e-06 24.9982
0.066 6.74632e-06 24.9982
0.068 7.14926e-06 24.9982
0.07 7.57407e-06 24.9982
0.072 8.01403e-06 24.9982
0.074 8.46316e-06 24.9982
0.076 8.89034e-06 24.9982
0.078 9.35373e-06 24.9982
0.08 9.83741e-06 24.9982
0.082 1.03251e-05 24.9982
0.084 1.08154e-05 24.9982
0.086 1.13203e-05 24.9982
0.088 1.18435e-05 24.9982
0.09 1.23793e-05 24.9982
0.092 1.29149e-05 24.9982
0.094 1.34733e-05 24.9982
0.096 1.40129e-05 24.9982
0.098 1.46071e-05 24.9982
0.1 1.51809e-05 24.9981
0.102 1.57793e-05 24.9981
0.104 1.63878e-05 24.9981
0.106 1.70035e-05 24.9981
0.108 1.76283e-05 24.9981
0.11 1.82691e-05 24.9981
0.112 1.8922e-05 24.9981
0.114 1.95797e-05 24.9981
0.116 2.02545e-05 24.9981
0.118 2.09388e-05 24.9981
0.12 2.16355e-05 24.9981
0.122 2.23406e-05 24.998
0.124 2.30557e-05 24.998
0.126 2.37914e-05 24.998
0.128 2.45346e-05 24.998
0.13 2.52819e-05 24.998
0.132 2.60445e-05 24.998
0.134 2.68207e-05 24.9979
0.136 2.76099e-05 24.9979
0.138 2.84125e-05 24.9979
0.14 2.92074e-05 24.9979
0.142 3.00551e-05 24.9979
0.144 3.08916e-05 24.9979
0.146 3.1749e-05 24.9979
0.148 3.2622e-05 24.9979
0.15 3.34868e-05 24.9979
0.152 3.43723e-05 24.9979
0.154 3.52707e-05 24.9979
0.156 3.61917e-05 24.9979
0.158 3.71204e-05 24.9979
0.16 3.80453e-05 24.9979
0.162 3.90245e-05 24.9979
0.164 3.99882e-05 24.9979
0.166 4.09799e-05 24.9978
0.168 4.19722e-05 24.9978
0.17 4.29843e-05 24.9978
0.172 4.40107e-05 24.9978
0.174 4.50604e-05 24.9978
0.176 4.61148e-05 24.9978
0.178 4.71836e-05 24.9978
0.18 4.82787e-05 24.9977
0.182 4.93947e-05 24.9977
0.184 5.04997e-05 24.9977
0.186 5.16313e-05 24.9977
0.188 5.27864e-05 24.9977
0.19 5.39553e-05 24.9977
0.192 5.51495e-05 24.9976
0.194 5.63507e-05 24.9976
0.196 5.75527e-05 24.9976
0.198 5.87752e-05 24.9976
0.2 6.00749e-05 24.9976
0.202 6.13347e-05 24.9975
0.204 6.26382e-05 24.9975
0.206 6.39559e-05 24.9975
0.208 6.52839e-05 24.9975
0.21 6.66272e-05 24.9975
0.212 6.80041e-05 24.9975
0.214 6.93942e-05 24.9974
0.216 7.08073e-05 24.9974
0.218 7.22575e-05 24.9974
0.22 7.3684e-05 24.9974
0.222 7.51895e-05 24.9974
0.224 7.67012e-05 24.9973
0.226 7.81698e-05 24.9973
0.228 7.98012e-05 24.9973
0.23 8.13324e-05 24.9973
0.232 8.29416e-05 24.9973
0.234 8.45528e-05 24.9972
0.236 8.62018e-05 24.9972
0.238 8.78677e-05 24.9972
0.24 8.95434e-05 24.9972
0.242 9.13204e-05 24.9971
0.244 9.30065e-05 24.9971
0.246 9.4804e-05 24.9971
0.248 9.66077e-05 24.9971
0.25 9.84143e-05 24.9971
0.252 0.000100265 24.9971
0.254 0.000102158 24.997
0.256 0.000104081 24.997
0.258 0.000106031 24.997
0.26 0.000107917 24.997
0.262 0.00011004 24.9969
0.264 0.000112 24.9969
0.266 0.000114079 24.9969
0.268 0.000116202 24.9968
0.27 0.000118288 24.9968
0.272 0.000120446 24.9968
0.274 0.00012262 24.9968
0.276 0.00012485 24.9967
0.278 0.000127112 24.9967
0.28 0.000129396 24.9967
0.282 0.000131752 24.9966
0.284 0.000134102 24.9966
0.286 0.000136492 24.9966
0.288 0.000138917 24.9966
0.29 0.000141366 24.9965
0.292 0.000143838 24.9965
0.294 0.00014639 24.9965
0.296 0.000148984 24.9964
0.298 0.000151574 24.9964
0.3 0.000154254 24.9964
0.302 0.000156901 24.9963
0.304 0.000159645 24.9963
0.306 0.000162435 24.9963
0.308 0.000165223 24.9962
0.31 0.000168071 24.9962
0.312 0.000170936 24.9962
0.314 0.000173868 24.9961
0.316 0.000176867 24.9961
0.318 0.000179889 24.9961
0.32 0.000182968 24.996
0.322 0.000186104 24.996
0.324 0.000189224 24.9959
0.326 0.000192422 24.9959
0.328 0.000195651 24.9959
0.33 0.000198933 24.9958
0.332 0.000202267 24.9958
0.334 0.00020564 24.9957
0.336 0.000209064 24.9957
0.338 0.000212525 24.9957
0.34 0.00021605 24.9956
0.342 0.000219603 24.9956
0.344 0.000223209 24.9955
0.346 0.000226888 24.9955
0.348 0.000230638 24.9954
0.35 0.000234415 24.9954
0.352 0.000238259 24.9953
0.354 0.000242147 24.9953
0.356 0.000246106 24.9952
0.358 0.000250108 24.9952
0.36 0.00025417 24.9951
0.362 0.000258296 24.9951
0.364 0.000262482 24.995
0.366 0.000266704 24.995
0.368 0.000271008 24.9949
0.37 0.000275343 24.9949
0.372 0.000279936 24.9948
0.374 0.000284325 24.9948
0.376 0.000288834 24.9947
0.378 0.000293435 24.9946
0.38 0.000298093 24.9946
0.382 0.000302816 24.9945
0.384 0.000307656 24.9945
0.386 0.000312614 24.9944
0.388 0.000317514 24.9943
0.39 0.0003225 24.9943
0.392 0.000327481 24.9942
0.394 0.000332605 24.9941
0.396 0.000337797 24.9941
0.398 0.000343127 24.994
0.4 0.000348425 24.9939
0.402 0.000353809 24.9939
0.404 0.000359267 24.9938
0.406 0.000364809 24.9937
0.408 0.000370403 24.9936
0.41 0.000376082 24.9936
0.412 0.000381831 24.9935
0.414 0.000387679 24.9934
0.416 0.000393745 24.9933
0.418 0.000399556 24.9933
0.42 0.000405569 24.9932
0.422 0.000411701 24.9931
0.424 0.000418149 24.993
0.426 0.000424528 24.9929
0.428 0.000430987 24.9929
0.43 0.000437374 24.9928
0.432 0.00044394 24.9927
0.434 0.000450631 24.9926
0.436 0.000457469 24.9925
0.438 0.000464285 24.9924
0.44 0.00047117 24.9923
0.442 0.000478222 24.9922
0.444 0.000485445 24.9921
0.446 0.000492696 24.992
0.448 0.000500073 24.9919
0.45 0.000507506 24.9918
0.452 0.000515073 24.9917
0.454 0.000522705 24.9916
0.456 0.000530466 24.9915
0.458 0.000538617 24.9914
0.46 0.00054675 24.9913
0.462 0.000554864 24.9912
0.464 0.000562983 24.9911
0.466 0.000571156 24.991
0.468 0.000579417 24.9909
0.47 0.00058797 24.9908
0.472 0.000596594 24.9906
0.474 0.000605306 24.9905
0.476 0.000614153 24.9904
0.478 0.000623129 24.9903
