t ke gpe 
0 0 12.4992
0.000128312 6.25083e-11 12.4992
0.000468715 3.82626e-10 12.4992
0.000901955 1.10766e-09 12.4992
0.0014074 2.66237e-09 12.4992
0.00202116 5.42203e-09 12.4992
0.00268606 9.51617e-09 12.4992
0.00341746 1.53503e-08 12.4992
0.00414885 2.2564e-08 12.4992
0.00498473 3.24793e-08 12.4992
0.00582061 4.41768e-08 12.4992
0.00665649 5.7648e-08 12.4992
0.00749236 7.28832e-08 12.4992
0.00832824 8.98736e-08 12.4992
0.00916412 1.0861e-07 12.4992
0.01 1.29082e-07 12.4992
0.0111111 1.58896e-07 12.4992
0.0122222 1.91745e-07 12.4992
0.0133333 2.276e-07 12.4992
0.0144444 2.66422e-07 12.4992
0.0155556 3.08187e-07 12.4992
0.0166667 3.52865e-07 12.4992
0.0177778 4.00422e-07 12.4992
0.0188889 4.50822e-07 12.4992
0.02 5.04027e-07 12.4992
0.02125 5.70089e-07 12.4992
0.0225 6.34404e-07 12.4992
0.02375 7.04054e-07 12.4992
0.025 7.78954e-07 12.4992
0.02625 8.5537e-07 12.4992
0.0275 9.34589e-07 12.4992
0.02875 1.0175e-06 12.4992
0.03 1.10379e-06 12.4992
0.03125 1.19278e-06 12.4992
0.0325 1.28522e-06 12.4992
0.03375 1.37971e-06 12.4992
0.035 1.47728e-06 12.4992
0.03625 1.57791e-06 12.4992
0.0375 1.68075e-06 12.4992
0.03875 1.79854e-06 12.4992
0.04 1.90005e-06 12.4992
0.04125 2.01164e-06 12.4992
0.0425 2.12175e-06 12.4992
0.04375 2.24264e-06 12.4992
0.045 2.35903e-06 12.4992
0.04625 2.4826e-06 12.4992
0.0475 2.60497e-06 12.4992
0.04875 2.73024e-06 12.4992
0.05 2.86017e-06 12.4992
0.05125 2.9945e-06 12.4992
0.0525 3.11694e-06 12.4992
0.05375 3.24264e-06 12.4992
0.055 3.37555e-06 12.4992
0.05625 3.50793e-06 12.4992
0.0575 3.64567e-06 12.4992
0.05875 3.78253e-06 12.4992
0.06 3.92052e-06 12.4992
0.06125 4.05612e-06 12.4992
0.0625 4.19605e-06 12.4992
0.06375 4.33639e-06 12.4992
0.065 4.47508e-06 12.4992
0.06625 4.61405e-06 12.4992
0.0675 4.75229e-06 12.4992
0.06875 4.89316e-06 12.4992
0.07 5.04091e-06 12.4992
0.07125 5.18268e-06 12.4992
0.0725 5.32562e-06 12.4992
0.07375 5.46501e-06 12.4992
