t ke gpe 
0 0 12.4988
0.000513248 1.50061e-10 12.4981
0.0018685 2.04707e-10 12.4981
0.0034948 6.73515e-10 12.4981
0.0051211 1.42364e-09 12.4981
0.00756055 3.05143e-09 12.4981
0.01 5.3209e-09 12.4981
0.0125 8.29662e-09 12.4981
0.015 1.1931e-08 12.4981
0.0175 1.62244e-08 12.4981
0.02 2.11804e-08 12.498
0.0233333 2.87611e-08 12.4979
0.0266667 3.75532e-08 12.4979
0.03 4.74942e-08 12.4979
0.0333333 5.86213e-08 12.4979
0.0366667 7.09223e-08 12.4979
0.04 8.43936e-08 12.4979
0.0433333 9.90376e-08 12.4979
0.0466667 1.14856e-07 12.4979
0.05 1.3185e-07 12.4979
0.0533333 1.5002e-07 12.4979
0.0566667 1.69366e-07 12.4979
0.06 1.8989e-07 12.4979
0.065 2.22729e-07 12.4979
0.07 2.58332e-07 12.4979
0.075 2.96554e-07 12.4979
0.08 3.37466e-07 12.4979
0.085 3.8114e-07 12.498
0.09 4.26101e-07 12.4981
0.095 4.75593e-07 12.4981
0.1 5.28087e-07 12.4981
0.105 5.83326e-07 12.4981
0.11 6.3974e-07 12.4981
0.115 6.98868e-07 12.4981
0.12 7.61404e-07 12.498
0.125 8.26863e-07 12.4979
0.13 8.94719e-07 12.4979
0.135 9.65314e-07 12.4979
0.14 1.03868e-06 12.4979
0.145 1.11475e-06 12.4979
0.15 1.19378e-06 12.4979
0.155 1.2757e-06 12.498
0.16 1.35915e-06 12.498
0.165 1.44723e-06 12.498
0.17 1.53852e-06 12.498
0.175 1.63286e-06 12.498
0.18 1.72877e-06 12.498
0.185 1.82669e-06 12.4978
0.19 1.9296e-06 12.4978
0.191667 1.96569e-06 12.4978
0.193333 1.99975e-06 12.4976
0.195 2.03668e-06 12.4976
0.196667 2.0732e-06 12.4976
0.198333 2.10916e-06 12.4975
0.2 2.14551e-06 12.4975
0.2025 2.20001e-06 12.4975
0.205 2.2559e-06 12.4975
0.2075 2.31153e-06 12.4971
0.21 2.37018e-06 12.4971
0.213333 2.44811e-06 12.4968
0.216667 2.52861e-06 12.4968
0.22 2.60803e-06 12.4968
0.223333 2.6911e-06 12.4967
0.226667 2.77444e-06 12.4966
0.23 2.86039e-06 12.4967
0.233333 2.94513e-06 12.4967
0.236667 3.03449e-06 12.4968
0.24 3.1265e-06 12.4968
0.243333 3.21783e-06 12.4968
0.246667 3.3104e-06 12.4968
0.25 3.40208e-06 12.4968
0.253333 3.49759e-06 12.4968
0.256667 3.59313e-06 12.4968
0.26 3.69458e-06 12.4969
0.261667 3.746e-06 12.4969
0.263333 3.79369e-06 12.4969
0.265 3.84526e-06 12.4969
0.266667 3.89842e-06 12.4969
0.268333 3.95028e-06 12.4969
0.27 3.99851e-06 12.497
0.271667 4.05132e-06 12.4969
0.273333 4.10095e-06 12.4969
0.275 4.15549e-06 12.497
0.276667 4.2112e-06 12.4974
0.278333 4.26282e-06 12.4974
0.28 4.31378e-06 12.4973
0.281667 4.36969e-06 12.4973
0.283333 4.42812e-06 12.4977
0.285 4.48124e-06 12.4976
0.286667 4.53618e-06 12.4976
0.288333 4.59213e-06 12.4975
0.29 4.64894e-06 12.4975
0.291667 4.7045e-06 12.4975
0.293333 4.75905e-06 12.4971
0.295556 4.83633e-06 12.497
0.297778 4.91289e-06 12.4971
0.298889 4.95364e-06 12.4971
0.3 4.99034e-06 12.4971
0.301667 5.0519e-06 12.497
0.303333 5.11103e-06 12.4971
0.305 5.16937e-06 12.4971
0.306667 5.22842e-06 12.4971
0.308333 5.29073e-06 12.4971
0.31 5.35093e-06 12.4971
0.311667 5.41209e-06 12.4972
0.313333 5.47338e-06 12.4972
0.315 5.53549e-06 12.4972
0.316667 5.59414e-06 12.4972
0.318333 5.66044e-06 12.4971
0.32 5.72327e-06 12.4971
0.321667 5.78601e-06 12.497
0.323333 5.85063e-06 12.497
0.325 5.91488e-06 12.497
0.326667 5.97631e-06 12.4969
0.328333 6.04289e-06 12.4969
0.33 6.10728e-06 12.4969
0.331667 6.17681e-06 12.497
0.333333 6.24458e-06 12.497
0.335 6.30853e-06 12.497
0.336667 6.37864e-06 12.497
0.338333 6.44956e-06 12.497
0.34 6.5118e-06 12.4971
0.341667 6.58465e-06 12.4971
0.343333 6.64825e-06 12.4971
0.345 6.72857e-06 12.4973
0.346667 6.78977e-06 12.4973
0.348333 6.86197e-06 12.4972
0.35 6.93893e-06 12.4972
0.351667 7.00858e-06 12.4972
0.353333 7.08328e-06 12.4973
0.355 7.15663e-06 12.4972
0.356667 7.22558e-06 12.4971
0.358333 7.3027e-06 12.4971
0.36 7.37499e-06 12.4974
0.361667 7.45093e-06 12.4976
0.363333 7.52947e-06 12.4976
0.365 7.60651e-06 12.4976
0.366667 7.6825e-06 12.4976
0.368333 7.75832e-06 12.4976
0.37 7.83748e-06 12.4976
0.371667 7.91856e-06 12.4977
0.373333 7.98811e-06 12.4976
0.375 8.06721e-06 12.4976
0.376667 8.15245e-06 12.4976
0.378333 8.23136e-06 12.4976
0.38 8.30209e-06 12.4979
0.381667 8.38136e-06 12.498
0.383333 8.464e-06 12.498
0.385 8.54496e-06 12.498
0.386667 8.7193e-06 12.498
0.388333 8.82477e-06 12.4979
0.39 9.08629e-06 12.4979
0.391667 9.03485e-06 12.4979
0.393333 9.0982e-06 12.4978
0.395 9.18138e-06 12.4978
0.396667 9.26697e-06 12.4978
0.398333 9.35544e-06 12.4978
0.4 9.4424e-06 12.4978
0.401667 9.5296e-06 12.4977
0.403333 9.61716e-06 12.4977
0.405 9.70778e-06 12.4978
0.406667 9.79775e-06 12.4978
0.408333 9.88719e-06 12.4978
0.41 1.0003e-05 12.4974
0.411667 1.01107e-05 12.4972
0.413333 1.01976e-05 12.4972
0.415 1.02758e-05 12.4972
0.416667 1.03741e-05 12.4972
0.418333 1.04631e-05 12.4971
0.42 1.05552e-05 12.4972
0.421667 1.06588e-05 12.4972
0.423333 1.07552e-05 12.4972
0.425 1.0849e-05 12.4971
0.426667 1.09786e-05 12.4971
0.428333 1.10975e-05 12.4971
0.43 1.1188e-05 12.4971
0.431667 1.12846e-05 12.4971
0.433333 1.13835e-05 12.497
0.435 1.1479e-05 12.4971
0.436667 1.1581e-05 12.4971
0.438333 1.16822e-05 12.497
0.44 1.17858e-05 12.497
0.441667 1.18837e-05 12.497
0.443333 1.19916e-05 12.497
0.445 1.20889e-05 12.497
