t ke gpe 
0 0 12.4988
0.000262663 4.16279e-08 12.4981
0.000958187 2.34895e-08 12.4981
0.00186237 9.47933e-08 12.4981
0.00287957 2.23828e-07 12.4981
0.00406631 4.3349e-07 12.4981
0.00525305 7.2143e-07 12.4981
0.00620244 1.01292e-06 12.4981
0.00715183 1.3415e-06 12.4981
0.00810122 1.71979e-06 12.4981
0.00905061 2.14875e-06 12.4981
0.01 2.61573e-06 12.4981
0.011 3.162e-06 12.4982
0.012 3.76846e-06 12.4982
0.013 4.4158e-06 12.4982
0.014 5.11503e-06 12.4976
0.015 5.87232e-06 12.4976
0.016 6.70111e-06 12.4977
0.017 7.70378e-06 12.4977
0.018 8.67007e-06 12.4977
0.019 9.6531e-06 12.4977
0.02 1.07162e-05 12.4978
0.021 1.18379e-05 12.4978
0.022 1.29716e-05 12.4978
0.023 1.41989e-05 12.4978
0.024 1.54517e-05 12.4978
0.025 1.67807e-05 12.4983
0.026 1.82547e-05 12.4983
0.027 1.96648e-05 12.4984
0.028 2.11657e-05 12.4984
0.029 2.27284e-05 12.4985
0.03 2.41329e-05 12.4985
0.031 2.60289e-05 12.4985
0.032 2.77496e-05 12.4985
0.033 2.91733e-05 12.4985
0.034 3.20572e-05 12.4985
0.035 3.3091e-05 12.4986
0.036 3.47781e-05 12.4986
0.037 3.65638e-05 12.4986
0.038 3.85412e-05 12.4987
0.039 4.06836e-05 12.4987
0.04 4.26965e-05 12.4987
0.041 4.48028e-05 12.4987
0.042 4.70281e-05 12.4987
0.043 4.90513e-05 12.4987
0.044 5.22033e-05 12.4987
0.045 5.52405e-05 12.4988
0.046 5.60497e-05 12.4989
0.047 5.9964e-05 12.4989
0.048 6.23034e-05 12.499
0.049 6.44416e-05 12.499
0.05 6.54612e-05 12.499
0.051 7.03603e-05 12.4991
0.052 7.20397e-05 12.4991
0.053 7.40407e-05 12.4991
0.054 7.65618e-05 12.4991
0.055 7.88748e-05 12.4991
0.056 8.15245e-05 12.4992
0.057 8.48158e-05 12.4992
0.058 8.78339e-05 12.4992
0.059 9.05609e-05 12.4992
0.06 9.29061e-05 12.4992
0.061 9.64486e-05 12.4992
0.062 9.83984e-05 12.4992
0.063 0.000103622 12.4992
0.064 0.000106027 12.4992
0.065 0.000107898 12.4993
0.066 0.000110928 12.4993
0.067 0.000115178 12.4993
0.068 0.000118244 12.4993
0.069 0.000120916 12.4993
0.07 0.000123999 12.4993
0.071 0.000127155 12.4993
0.072 0.000130422 12.4993
0.073 0.000133594 12.4993
0.074 0.000137021 12.4993
0.075 0.000140375 12.4993
0.076 0.000143768 12.4993
0.077 0.000147094 12.4993
0.078 0.000150313 12.4993
0.079 0.000153689 12.4993
0.08 0.000157407 12.4993
0.081 0.000160786 12.4993
0.082 0.000164243 12.4993
0.083 0.00016774 12.4993
0.084 0.000171273 12.4993
0.085 0.000174824 12.4993
0.086 0.000178506 12.4994
0.087 0.00018232 12.4994
0.088 0.000186008 12.4994
0.089 0.000189512 12.4994
0.09 0.000193228 12.4994
0.091 0.000196814 12.4994
0.092 0.000200623 12.4994
0.093 0.000204118 12.4994
0.094 0.000207723 12.4994
0.095 0.000211423 12.4994
0.096 0.000214978 12.4994
0.097 0.000218943 12.4994
0.098 0.000222576 12.4994
0.099 0.000226411 12.4994
0.1 0.000229945 12.4994
0.101 0.000233754 12.4994
0.102 0.000237511 12.4994
0.103 0.000241376 12.4995
0.104 0.000245181 12.4995
0.105 0.000249004 12.4995
0.106 0.000252798 12.4995
0.107 0.00025641 12.4995
0.108 0.000260391 12.4995
0.109 0.000263678 12.4995
0.11 0.000268095 12.4995
0.111 0.000270848 12.4995
0.112 0.000276585 12.4995
0.113 0.000277893 12.4995
0.114 0.000287092 12.4995
0.115 0.000291133 12.4995
0.116 0.000293461 12.4995
0.117 0.000293894 12.4995
0.118 0.000301894 12.4995
0.119 0.000303982 12.4996
0.12 0.000305714 12.4996
0.121 0.000311906 12.4996
0.122 0.000315602 12.4996
0.123 0.000316515 12.4996
0.124 0.000319572 12.4996
0.125 0.000325936 12.4996
0.126 0.000331133 12.4996
0.127 0.00033506 12.4996
0.128 0.000338431 12.4996
0.129 0.000337906 12.4996
0.13 0.000341156 12.4996
0.131 0.000348562 12.4996
0.132 0.000352734 12.4996
0.133 0.000352425 12.4996
0.134 0.000359107 12.4996
0.135 0.000363485 12.4996
0.136 0.000362829 12.4996
0.137 0.000368739 12.4996
0.138 0.000369849 12.4996
0.139 0.000373119 12.4996
0.14 0.00037817 12.4996
0.141 0.000380144 12.4996
0.142 0.000386154 12.4997
0.143 0.000389066 12.4997
